st_case,state,year,month,day,day_week,hour,minute,county,city,fatals_crash,vehicles_total,vehicles_in_transport,persons_total,route,rural_urban,functional_system,road_owner,nhs,special_jurisdiction,milepoint,latitude,longitude,first_harmful_event,manner_collision,rel_jct_interchange,rel_jct_location,intersection_type,relation_to_road,work_zone,light_condition,weather,school_bus_related,ems_notified_hour,ems_notified_min,ems_arrival_hour,ems_arrival_min,hospital_hour,hospital_min
10035,1,2020,2,6,5,19,40,125,0,1,1,1,1,1,2,1,1,1,0,0,33.17127222,-87.54825833,8,0,1,18,1,1,0,3,1,0,19,45,19,50,,
10036,1,2020,2,5,4,0,35,3,0,1,1,1,1,1,1,1,1,1,0,352,30.95826111,-87.80111944,42,0,0,1,1,4,0,2,10,0,,,,,,
10037,1,2020,2,3,2,8,40,125,0,1,2,2,3,1,2,1,1,1,0,714,33.17029167,-87.55260278,12,1,1,18,1,1,0,1,1,0,,,9,10,,
10038,1,2020,1,28,3,18,55,73,330,1,1,1,1,1,2,1,1,1,0,10,33.54449722,-86.64278889,8,0,1,5,1,1,0,3,1,0,,,19,7,,
10039,1,2020,1,18,7,1,15,55,0,1,1,1,2,4,1,6,2,0,0,0,34.123125,-85.91501389,34,0,0,1,1,4,0,2,1,0,1,57,2,11,,
10040,1,2020,1,18,7,16,16,103,0,1,2,2,4,3,1,3,1,1,0,254,34.44817778,-86.86934167,12,2,0,1,1,1,0,1,2,0,16,13,16,22,17,3
10041,1,2020,1,18,7,23,20,97,0,1,1,1,2,3,2,3,1,1,0,156,30.75396111,-88.20454722,8,0,0,1,1,1,0,3,2,0,23,20,23,40,,
10042,1,2020,1,19,1,2,20,111,0,3,1,1,3,3,1,4,1,0,0,225,33.358475,-85.42518333,42,0,0,1,1,4,0,2,2,0,,,,,,
10043,1,2020,1,19,1,13,30,41,0,1,2,2,2,2,1,4,1,0,0,643,31.50393056,-86.35542222,12,2,0,1,1,1,0,1,1,0,13,30,13,44,,
10044,1,2020,1,19,1,14,27,51,0,1,1,1,2,3,1,5,1,0,0,167,32.60258056,-86.36498611,9,0,0,1,1,1,0,1,1,0,14,27,14,40,,
10045,1,2020,1,21,3,7,22,89,1730,1,3,3,3,6,2,3,1,1,0,0,34.75841944,-86.64116944,12,2,0,1,1,1,0,1,1,0,7,22,7,26,,
10046,1,2020,1,21,3,13,45,117,0,1,2,2,2,2,1,3,1,1,0,190,33.35074722,-86.53566667,12,6,0,2,2,1,0,1,1,1,13,45,13,50,,
10047,1,2020,1,22,4,16,1,3,0,1,2,2,3,4,2,4,2,0,0,0,30.43598056,-87.74242778,12,6,0,2,2,1,0,1,1,0,16,1,16,15,,
10048,1,2020,1,22,4,16,3,89,1730,1,3,3,3,6,2,3,1,1,0,0,34.7406,-86.62809167,12,2,0,2,3,1,0,5,1,0,16,3,16,8,,
10049,1,2020,1,23,5,17,35,53,0,2,5,5,7,3,2,4,1,0,0,101,31.13909167,-87.46351389,12,2,0,1,1,1,0,2,10,0,17,35,17,41,,
10050,1,2020,1,26,1,0,0,21,0,1,1,1,2,4,1,5,2,0,0,0,33.03066111,-86.8723,52,0,0,1,1,4,0,2,10,0,0,9,0,33,0,53
10051,1,2020,1,25,7,11,55,35,0,1,2,2,2,2,1,3,1,1,0,889,31.42348611,-87.16169167,12,2,0,1,1,1,0,1,10,0,12,4,12,13,12,41
10052,1,2020,1,27,2,14,8,11,3090,1,1,1,1,6,2,5,4,0,0,0,32.15313889,-85.70260278,42,0,0,1,1,4,0,1,10,0,14,8,14,23,,
10053,1,2020,1,27,2,22,45,91,0,1,1,1,1,4,1,5,2,0,0,0,32.10327222,-87.817025,1,0,0,1,1,4,0,2,5,0,,,,,,
10054,1,2020,1,29,4,20,21,61,2810,1,1,1,4,4,1,6,2,0,0,0,31.09968056,-85.58911667,1,0,0,1,1,5,0,2,1,0,20,21,20,26,,
10055,1,2020,1,30,5,14,45,51,0,1,2,2,3,3,1,4,1,0,0,125,32.71211944,-85.97814167,12,6,0,2,3,1,0,1,1,0,15,10,15,15,15,37
10056,1,2020,2,2,1,15,0,13,0,1,1,1,1,4,1,5,2,0,0,0,31.87916111,-86.73305833,34,0,0,1,1,4,0,1,1,0,15,0,15,11,,
10057,1,2020,1,31,6,23,15,109,0,1,1,1,1,4,1,7,2,0,0,0,31.72299722,-85.74411111,35,0,0,1,1,4,0,2,2,0,23,15,23,35,,
10058,1,2020,2,1,7,0,55,47,2360,1,1,1,1,4,1,6,2,0,0,0,32.31468056,-87.24141667,34,0,0,1,1,4,0,2,1,0,1,4,1,27,,
10059,1,2020,2,1,7,11,8,49,0,1,1,1,1,4,1,5,2,0,0,0,34.35930833,-85.95434722,32,0,0,1,1,4,0,1,10,0,11,14,11,21,,
10060,1,2020,2,1,7,21,12,95,50,1,1,1,2,6,2,7,4,0,0,0,34.2799,-86.23803889,42,0,1,3,4,4,0,3,1,0,21,15,21,18,21,45
10061,1,2020,2,2,1,23,35,125,3050,1,1,1,1,3,2,3,1,1,0,0,33.1921,-87.46683333,30,0,0,1,1,4,0,2,1,0,23,35,23,45,,
10062,1,2020,2,3,2,7,10,73,20,1,2,2,2,2,2,3,1,1,0,1407,33.58196667,-86.92234444,12,1,1,3,2,1,0,1,1,0,7,6,7,20,,
10063,1,2020,2,3,2,17,50,99,0,1,3,3,3,3,1,4,1,0,0,387,31.47588611,-87.33756667,12,6,0,1,1,1,0,2,1,0,,,18,4,,
10064,1,2020,2,3,2,0,41,73,20,1,1,1,1,2,2,3,1,1,0,1410,33.58096111,-86.91989167,8,0,0,3,2,1,0,3,1,0,,,1,5,,
10065,1,2020,2,3,2,18,3,45,2380,1,1,1,1,2,2,3,1,1,0,430,31.43448056,-85.63309444,8,0,0,3,2,1,0,2,1,0,18,3,18,9,,
10066,1,2020,2,4,3,9,55,115,0,2,2,2,4,2,1,4,1,0,0,2250,33.6728,-86.280725,12,2,0,1,1,1,0,1,10,0,10,8,10,13,10,57
10067,1,2020,2,4,3,11,0,21,0,2,2,2,4,3,1,4,1,0,0,637,32.83206111,-86.68208889,12,2,0,1,1,1,0,1,10,0,11,8,11,13,11,29
10069,1,2020,2,7,6,1,33,115,160,1,1,1,1,3,1,4,1,0,0,2380,33.84549722,-86.269525,8,0,0,1,1,1,0,3,2,0,1,34,1,40,,
10070,1,2020,2,7,6,12,18,125,3050,2,3,3,7,3,2,4,1,0,0,0,33.19900278,-87.48229444,12,2,0,4,1,1,0,1,1,0,12,20,12,22,12,46
10071,1,2020,2,7,6,14,55,109,0,2,2,2,3,4,1,5,2,0,0,0,31.72270833,-86.08243611,12,2,0,1,1,1,0,1,1,0,,,15,10,,
10072,1,2020,2,7,6,17,0,69,0,2,2,2,2,3,1,5,1,0,0,103,31.20675556,-85.6256,12,6,0,2,2,1,0,1,1,0,17,0,17,5,,
10073,1,2020,2,9,1,7,50,97,0,1,1,1,2,3,1,5,1,0,0,232,30.99323056,-88.3312,35,0,0,1,1,4,0,1,1,0,,,8,5,,
10074,1,2020,2,9,1,17,45,109,0,1,1,1,1,4,1,5,2,0,0,0,32.00764444,-85.93280278,42,0,0,1,1,4,0,2,1,0,18,14,18,48,19,26
10075,1,2020,2,10,2,5,40,127,0,1,2,2,2,3,1,5,1,0,0,71,33.93625556,-87.32323611,12,2,0,1,1,1,0,2,2,0,,,6,0,,
10076,1,2020,2,10,2,14,20,45,0,1,2,2,2,3,1,4,1,0,0,163,31.20031111,-85.76842222,12,6,0,2,2,1,0,1,1,0,14,20,14,28,,
10077,1,2020,2,11,3,18,45,91,0,2,2,2,3,3,1,4,1,0,0,329,32.11184167,-87.97593889,12,2,0,1,1,1,0,2,1,0,,,19,29,,
