st_case,state,year,month,day,day_week,hour,minute,county,city,fatals_crash,vehicles_total,vehicles_in_transport,persons_total,route,rural_urban,functional_system,road_owner,nhs,special_jurisdiction,milepoint,latitude,longitude,first_harmful_event,manner_collision,rel_jct_interchange,rel_jct_location,intersection_type,relation_to_road,work_zone,light_condition,weather,school_bus_related,ems_notified_hour,ems_notified_min,ems_arrival_hour,ems_arrival_min,hospital_hour,hospital_min
130759,13,2020,7,20,2,19,59,207,0,1,1,1,3,4,1,7,2,0,0,7,33.15861111,-83.83684444,35,0,0,1,1,4,0,1,1,0,20,3,20,18,20,57
130760,13,2020,7,21,3,1,5,51,4910,1,1,1,1,6,2,7,4,0,0,6,32.14796667,-81.24718611,1,0,0,8,1,4,0,3,1,0,0,58,1,4,1,39
130761,13,2020,11,28,7,19,57,121,280,2,2,2,4,3,2,4,1,0,0,274,33.73180556,-84.56926944,12,6,0,8,1,1,0,3,1,0,19,57,20,20,20,59
130762,13,2020,7,21,3,1,53,121,0,1,1,1,4,3,2,2,2,1,0,0,33.98363611,-84.34040833,33,0,1,5,1,8,0,2,1,0,2,41,2,51,3,11
130763,13,2020,7,21,3,6,4,63,2180,1,4,4,4,1,2,1,1,1,0,3,33.62491111,-84.40183611,12,1,1,5,1,1,0,4,1,0,6,4,,,,
130764,13,2020,7,21,3,16,0,199,,1,1,1,3,3,1,5,1,0,0,32,32.87905833,-84.63230278,1,0,0,1,1,4,0,1,10,0,16,0,16,10,17,0
130765,13,2020,7,22,4,1,22,45,,1,1,1,1,1,2,1,1,1,0,34,33.68818889,-85.11112778,8,0,0,1,1,1,1,2,1,0,1,25,1,35,3,25
130766,13,2020,12,6,1,20,42,129,0,1,1,1,2,4,1,7,2,0,0,0,34.5491,-85.04474444,1,0,0,1,1,1,0,2,1,0,20,37,20,56,,
130767,13,2020,7,22,4,13,20,139,,1,2,2,3,4,1,5,2,0,0,22,34.45007222,-83.814575,35,0,0,1,1,4,0,1,10,0,13,23,13,29,14,2
130768,13,2020,7,22,4,21,30,143,,2,2,2,2,3,1,5,1,0,0,157,33.721825,-85.10759167,12,6,0,1,1,1,0,2,2,0,21,30,22,0,22,0
130769,13,2020,7,23,5,1,21,217,0,1,1,1,6,4,2,7,2,0,0,19,33.567025,-83.79593889,42,0,0,1,1,4,0,2,1,0,,,,,,
130770,13,2020,7,23,5,21,29,89,0,1,1,1,1,3,2,7,1,0,0,86,33.71162222,-84.27161111,8,0,0,1,1,1,0,3,1,0,21,32,21,43,22,0
130771,13,2020,7,24,6,11,31,121,280,1,3,3,2,1,2,1,1,1,0,532,33.6626,-84.35271667,8,0,0,1,1,1,0,1,1,0,11,39,11,42,,
130772,13,2020,7,24,6,12,35,309,,1,1,1,1,4,1,5,2,0,0,22,32.14780556,-82.90034167,35,0,0,1,1,4,0,1,1,0,12,37,12,53,,
130773,13,2020,12,7,2,4,2,255,,2,2,2,2,3,2,3,1,1,0,25,33.22360556,-84.28854722,34,0,0,1,1,3,0,2,10,0,4,7,4,13,,
130774,13,2020,12,7,2,9,45,121,280,2,1,1,2,6,2,4,4,0,0,4,33.78315833,-84.38221389,33,0,0,1,1,4,0,1,1,0,10,0,10,4,10,48
130775,13,2020,12,4,6,10,3,51,4450,1,4,4,4,1,2,2,1,1,0,64,32.07848056,-81.26470833,12,1,0,1,1,1,1,1,1,0,,,,,,
130776,13,2020,7,24,6,17,18,51,0,1,2,2,2,4,2,6,2,0,0,2,32.01524722,-80.97553333,12,1,0,1,1,1,0,1,1,0,17,19,17,32,17,58
130777,13,2020,7,25,7,2,24,127,,1,1,1,2,3,2,3,1,1,0,23,31.21320556,-81.49051944,9,0,0,1,1,1,0,2,1,0,2,25,2,30,,
130778,13,2020,7,25,7,19,20,143,,1,1,1,1,3,2,5,1,0,0,17,33.74103056,-85.32554722,42,0,0,1,1,4,0,2,8,0,19,20,19,23,,
130779,13,2020,7,25,7,12,0,63,3055,2,2,2,4,3,2,7,1,0,0,108,33.61444444,-84.34935278,12,6,0,2,2,1,0,1,1,0,12,19,12,19,13,19
130780,13,2020,7,26,1,18,0,83,,1,1,1,1,4,1,5,2,0,0,47,34.92193056,-85.52784444,35,0,0,1,1,4,0,1,10,0,18,57,19,11,,
130781,13,2020,7,26,1,17,54,301,4050,1,2,2,2,1,1,1,1,1,0,1580,33.50390833,-82.74091944,12,6,8,98,1,1,0,1,2,0,17,54,18,16,20,15
130783,13,2020,7,27,2,1,43,43,,1,1,1,1,4,1,7,2,0,0,14,32.39764167,-81.98778889,1,0,0,1,1,1,0,2,1,0,1,46,1,51,,
130784,13,2020,7,27,2,4,10,21,3390,1,2,2,2,3,2,3,1,1,0,365,32.77863333,-83.66301111,12,6,0,8,1,1,0,3,1,0,4,13,4,25,5,0
130785,13,2020,7,27,2,7,22,311,1190,1,1,1,1,4,1,7,2,0,0,7,34.51456389,-83.725575,34,0,0,1,1,4,0,1,1,0,7,29,7,34,,
130786,13,2020,7,27,2,14,17,89,5580,1,2,2,2,2,2,2,1,1,0,0,33.83438611,-84.19991111,12,6,1,2,3,1,0,1,1,0,14,17,14,17,,
130787,13,2020,7,27,2,21,21,139,4100,2,1,1,2,6,2,5,2,0,0,7,34.25637222,-83.90323889,35,0,0,1,1,4,0,2,1,0,21,1,21,25,,
130788,13,2020,7,27,2,23,28,255,2510,1,1,1,2,2,2,3,1,1,0,2035,33.29683611,-84.29139167,8,0,0,1,1,1,0,2,10,0,23,27,23,37,,
130790,13,2020,7,28,3,16,33,313,1510,1,2,2,3,6,1,5,2,0,0,18,34.737925,-85.01853611,12,2,0,1,1,1,0,1,1,0,16,34,16,38,17,45
130791,13,2020,8,3,2,12,30,223,1500,1,2,2,6,3,1,4,1,0,0,217,33.84871667,-84.96000278,12,2,0,8,1,1,0,1,1,0,12,40,12,46,13,15
130792,13,2020,9,20,1,15,35,275,0,1,1,1,1,4,2,4,2,0,0,22,30.84836944,-83.94798889,58,0,0,1,1,4,0,1,2,0,15,37,15,46,16,14
130793,13,2020,7,28,3,21,55,193,4150,1,1,1,1,3,2,4,1,0,0,371,32.25740556,-84.08568333,8,0,0,1,1,1,0,2,2,0,21,54,22,1,,
130794,13,2020,7,30,5,7,53,127,760,1,2,2,2,3,2,3,1,1,0,16,31.16339167,-81.44930833,12,1,0,1,1,1,0,1,1,0,7,50,7,55,,
130795,13,2020,7,30,5,10,10,223,2740,1,2,2,3,4,2,4,2,0,0,40,33.80623611,-84.83510833,12,2,0,1,1,1,0,1,1,0,10,19,10,29,11,13
130796,13,2020,7,30,5,16,41,211,3400,1,2,2,2,2,1,3,1,1,0,260,33.57218889,-83.47735556,12,6,0,2,3,1,0,1,2,0,16,42,16,46,17,33
130797,13,2020,7,30,5,20,0,153,5790,1,2,2,2,3,2,4,1,0,0,1684,32.67696111,-83.70528333,12,6,0,2,3,1,0,1,1,0,19,48,20,3,,
130798,13,2020,10,5,2,10,4,127,,1,3,3,3,2,2,3,1,1,0,2552,31.23839444,-81.53964722,12,1,0,1,1,1,0,1,1,0,10,11,10,17,10,51
130799,13,2020,7,31,6,4,20,219,590,1,2,2,2,2,2,3,1,1,0,578,33.91849167,-83.51941667,12,6,0,1,1,1,0,2,1,0,4,25,4,34,5,14
130801,13,2020,7,31,6,14,52,77,3950,1,1,1,1,6,1,5,2,0,0,15,33.27408056,-84.93420278,53,0,0,1,1,4,0,1,1,0,14,54,15,10,,
130802,13,2020,7,31,6,21,26,245,310,1,1,1,1,4,2,7,2,0,0,28,33.28775556,-81.91720556,59,0,0,1,1,4,0,2,10,0,21,26,21,46,22,9
130803,13,2020,8,1,7,6,14,135,3100,1,2,2,2,4,2,4,2,0,0,48,33.95431111,-84.03615278,12,1,0,2,2,1,0,2,1,0,6,14,6,24,,
130804,13,2020,8,1,7,8,50,63,2180,1,1,1,1,5,2,7,4,0,0,6,33.63053056,-84.38450556,7,0,0,3,3,1,0,1,10,0,9,1,9,4,9,33
130805,13,2020,8,1,7,20,40,297,3710,1,2,2,2,6,2,4,4,0,0,6,33.806575,-83.70885833,12,2,0,1,1,1,0,8,1,0,20,40,20,50,21,25
130806,13,2020,9,16,4,5,45,199,0,1,1,1,1,3,1,4,1,0,0,231,33.03046667,-84.83941944,32,0,0,1,1,4,0,2,2,0,5,46,5,57,6,42
130807,13,2020,9,10,5,11,40,143,690,1,1,1,1,6,2,7,4,0,0,,33.71193056,-85.15400556,42,0,0,1,1,4,0,1,10,0,11,42,11,48,12,35
130808,13,2020,8,1,7,14,25,139,2285,1,2,2,6,3,2,4,1,0,0,99,34.23005833,-83.79372778,12,2,0,1,1,1,0,1,1,0,14,29,14,38,15,16
130809,13,2020,8,1,7,21,43,111,3660,2,2,2,3,3,1,5,1,0,0,850,34.94633333,-84.31774444,12,2,0,1,1,1,0,2,10,0,21,46,21,58,22,27
130810,13,2020,10,9,6,23,1,153,5790,1,1,1,1,6,2,4,4,0,0,10,32.65091667,-83.66048056,34,0,0,3,3,4,0,3,2,0,23,1,23,6,23,38
130811,13,2020,8,1,7,22,0,291,5226,1,1,1,1,3,1,5,1,0,0,601,34.73637778,-84.09079167,1,0,0,1,1,4,0,2,10,0,22,0,22,32,,
130812,13,2020,10,25,1,23,8,89,,1,4,4,7,1,2,1,1,1,0,121,33.70342778,-84.16521667,8,0,0,1,1,1,0,2,1,0,23,11,23,16,,
130813,13,2020,8,1,7,22,7,129,0,1,1,1,1,4,1,7,2,0,0,0,34.45511389,-84.81998056,53,0,0,1,1,4,0,2,1,0,22,3,22,16,,
130814,13,2020,8,1,7,23,33,23,0,1,3,3,3,1,1,1,1,1,0,1300,32.571175,-83.22886389,12,1,0,1,1,1,0,2,1,0,23,32,23,48,,
130815,13,2020,8,2,1,1,42,185,,1,1,1,2,3,2,3,1,1,0,98,30.76333611,-83.26794722,8,0,0,1,1,1,0,2,1,0,1,41,1,51,2,18
130816,13,2020,8,2,1,7,24,51,0,1,1,1,1,4,2,7,2,0,0,0,31.98002222,-81.10185,33,0,0,1,1,4,0,1,1,0,7,24,7,34,,
130817,13,2020,8,2,1,12,19,247,9997,1,1,1,1,3,2,3,1,1,0,304,33.59217778,-84.13738333,59,0,0,3,2,4,0,1,1,0,,,,,,
130818,13,2020,8,2,1,14,0,55,,1,2,2,3,3,2,3,1,1,0,3184,34.49808333,-85.33296667,12,6,0,8,1,1,0,1,1,0,14,4,14,7,14,49
130819,13,2020,8,28,6,16,48,15,,1,2,2,2,1,2,1,1,1,0,161,34.24727222,-84.7787,12,6,1,5,1,1,0,1,2,0,16,49,16,59,,
130820,13,2020,8,2,1,14,43,89,1060,1,6,6,10,3,2,3,1,1,0,92,33.88575278,-84.28823611,12,6,0,2,2,1,0,1,1,0,14,43,15,0,15,30
130821,13,2020,8,2,1,15,42,89,1610,1,3,3,4,3,2,4,1,0,0,53,33.68361944,-84.23458889,12,2,0,1,1,1,0,1,1,0,15,42,15,42,,
130822,13,2020,8,2,1,15,50,263,,1,1,1,2,4,1,5,2,0,0,57,32.74980556,-84.42215278,53,0,0,1,1,4,0,1,1,0,15,58,16,17,16,59
130823,13,2020,8,2,1,23,40,207,,1,1,1,1,1,2,1,1,1,0,,33.02036944,-83.89555556,8,0,0,1,1,1,0,2,1,0,23,52,23,56,,
130824,13,2020,8,3,2,18,55,299,,1,1,1,1,4,2,4,2,0,0,1,31.21359167,-82.30718056,42,0,0,3,3,4,0,1,1,0,18,55,19,5,19,34
130825,13,2020,8,3,2,20,59,121,280,1,1,1,1,5,2,7,4,0,0,1,33.76141667,-84.49950278,53,0,0,1,1,4,0,3,10,0,,,,,,
130826,13,2020,8,4,3,2,37,121,4882,1,1,1,2,1,2,1,1,1,0,215,33.90666667,-84.43151667,8,0,0,1,1,1,0,2,1,0,2,38,2,50,,
130827,13,2020,8,4,3,13,40,35,,1,1,1,4,4,1,5,2,0,0,36,33.32395833,-83.90228611,1,0,0,1,1,4,0,1,1,0,13,40,13,43,14,16
130828,13,2020,8,4,3,16,40,121,2060,1,2,2,3,5,2,6,4,0,0,15,33.55273889,-84.54165833,12,6,1,2,2,1,0,1,1,0,,,,,,
130829,13,2020,8,4,3,18,30,13,930,1,2,2,2,3,2,4,1,0,0,34,34.00547222,-83.81145556,12,6,0,2,2,1,0,1,10,0,18,33,18,36,19,47
130830,13,2020,8,4,3,22,4,135,3100,1,1,1,1,3,2,3,1,1,0,103,34.03999444,-83.98987222,8,0,0,1,1,1,0,3,1,0,,,,,,
130831,13,2020,8,4,3,22,17,295,,1,1,1,1,3,1,5,1,0,0,2,34.75855556,-85.36594167,8,0,0,1,1,1,0,2,1,0,22,8,22,17,,
130832,13,2020,8,5,4,2,4,47,4680,1,1,1,1,4,1,5,2,0,0,17,34.84308333,-85.08884444,42,0,0,1,1,5,0,2,10,0,2,3,2,16,,
130833,13,2020,8,5,4,12,29,93,4360,1,2,2,2,3,1,5,1,0,0,88,32.15458889,-83.79621944,12,2,0,1,1,1,0,1,1,0,12,26,12,31,,
130834,13,2020,9,12,7,2,55,215,1280,1,1,1,1,2,2,3,1,1,0,38,32.42269722,-84.94688611,8,0,0,3,2,1,0,3,10,0,3,0,3,6,,
130835,13,2020,10,10,7,7,59,151,,1,2,2,4,1,2,2,1,1,0,84,33.40759722,-84.15677222,24,0,0,1,1,3,0,4,10,0,7,59,8,11,9,11
130836,13,2020,8,5,4,16,20,157,,1,2,2,2,3,2,3,1,1,0,120,34.18296667,-83.44028889,12,6,0,2,2,1,0,1,10,0,16,23,16,23,16,45
130837,13,2020,8,5,4,18,29,9,,1,1,1,1,3,1,3,1,1,0,87,33.07819167,-83.14172778,38,0,0,1,1,4,0,1,1,0,18,31,18,39,,
130838,13,2020,8,5,4,19,0,197,,1,1,1,2,3,1,4,1,1,0,1,32.26616944,-84.42967778,34,0,0,1,1,4,0,1,1,0,19,44,20,0,,
130839,13,2020,8,6,5,12,44,251,,1,1,1,2,3,1,5,1,0,0,199,32.717975,-81.49148056,51,0,0,1,1,1,0,1,1,0,12,43,12,58,,
130840,13,2020,8,6,5,13,50,25,,1,2,2,3,3,1,4,1,0,0,131,31.25107778,-81.96868889,12,6,0,2,2,1,0,1,1,0,13,50,14,0,,
130841,13,2020,10,11,1,1,27,121,280,1,7,2,4,3,2,3,1,0,0,1,33.84043889,-84.37698056,12,1,0,1,1,1,0,3,2,0,,,,,,
130842,13,2020,8,6,5,14,8,191,,1,3,3,3,3,1,4,1,0,0,28,31.36612778,-81.43713333,12,1,0,1,1,1,0,1,1,0,14,6,14,17,,
130843,13,2020,8,6,5,19,59,117,1440,1,1,1,1,4,2,7,2,0,0,36,34.21472778,-84.07807222,1,0,0,1,1,1,0,1,10,0,20,0,20,8,,
130844,13,2020,8,8,7,2,22,121,280,1,1,1,1,1,2,2,1,1,0,,33.66153889,-84.35572778,32,0,0,1,1,4,0,2,10,0,2,26,2,38,,
130845,13,2020,8,8,7,18,32,15,980,1,4,4,5,1,1,1,1,1,0,,34.16058889,-84.754225,12,2,0,1,1,1,0,1,1,0,18,32,18,34,,
130846,13,2020,10,13,3,4,10,89,0,1,1,1,1,4,2,5,2,0,0,680,33.72360278,-84.14958889,8,0,0,1,1,1,0,3,1,0,4,14,4,22,4,50
130847,13,2020,8,8,7,20,45,77,0,1,1,1,1,4,2,7,2,0,0,,33.41508611,-84.70269444,34,0,0,1,1,4,0,2,1,0,20,46,20,53,21,16
130848,13,2020,10,18,1,9,10,217,,1,2,2,3,3,1,5,1,0,0,72,33.57998333,-83.77876667,12,2,0,1,1,1,0,1,1,0,9,11,9,20,9,44
130849,13,2020,8,8,7,21,20,121,280,1,1,1,1,3,2,4,1,0,0,393,33.76543889,-84.52939722,8,0,1,98,1,1,0,3,1,0,21,29,21,45,22,14
130850,13,2020,8,9,1,4,22,245,310,1,1,1,1,3,2,4,1,0,0,1349,33.35945556,-81.98922778,9,0,0,1,1,1,0,2,10,0,4,24,4,30,,
130851,13,2020,8,9,1,5,30,51,4450,1,2,2,2,1,2,1,1,1,0,985,32.073675,-81.24614722,8,0,1,18,1,1,1,2,1,0,,,,,,
130852,13,2020,8,9,1,7,0,55,,1,1,1,1,4,1,7,2,0,0,18,34.312375,-85.38698056,34,0,0,1,1,4,0,4,1,0,7,34,7,48,,
130853,13,2020,8,9,1,12,43,191,,1,2,2,3,1,1,1,1,1,0,549,31.48500556,-81.44705556,12,7,0,1,1,1,0,1,1,0,12,47,12,55,,
130854,13,2020,8,9,1,18,20,281,0,1,1,1,1,2,1,3,1,1,0,701,34.91816111,-83.85709167,33,0,0,1,1,4,0,1,1,0,18,22,18,29,,
130855,13,2020,8,9,1,23,4,57,0,1,1,1,1,4,1,7,2,0,0,57,34.344175,-84.39661111,42,0,0,1,1,4,0,2,1,0,23,6,23,13,0,0
130856,13,2020,8,9,1,23,11,73,0,1,2,2,3,3,2,4,1,0,0,149,33.56034722,-82.10249444,12,2,0,1,1,1,0,2,1,0,23,13,23,16,0,1
130857,13,2020,10,18,1,12,41,89,0,1,1,1,1,4,2,5,2,0,0,8,33.65527222,-84.27249444,34,0,0,3,3,4,0,1,1,0,,,,,,
130858,13,2020,10,20,3,8,41,21,3390,1,2,2,2,4,2,5,2,0,0,81,32.79219722,-83.75865278,12,2,0,1,1,1,0,1,1,0,,,,,,
130859,13,2020,10,20,3,6,52,247,0,1,2,2,2,3,2,3,1,1,0,76,33.62994167,-84.039075,12,2,0,2,2,1,0,4,1,0,7,19,7,25,7,39
130860,13,2020,10,23,6,17,21,89,0,1,3,3,6,3,2,6,1,0,0,97,33.70976389,-84.11886389,12,6,0,2,3,1,0,1,1,0,17,21,17,28,18,11
130861,13,2020,10,25,1,20,49,115,0,1,1,1,1,5,2,5,4,0,0,2,34.31596389,-85.17523889,53,0,0,1,1,4,0,2,1,0,20,50,20,56,,
130862,13,2020,10,31,7,20,6,95,,1,2,2,2,3,2,3,1,1,0,15,31.51164167,-84.05782222,12,1,0,1,1,1,0,2,1,0,20,16,20,28,,
130864,13,2020,12,9,4,4,48,157,,1,2,2,2,3,2,3,1,1,0,22,34.09199444,-83.58437778,12,1,0,1,1,1,0,2,1,0,4,54,5,1,5,33
130865,13,2020,12,9,4,19,41,179,4640,1,1,1,1,5,1,6,3,0,0,28,31.70295556,-81.43677222,42,0,0,1,1,5,0,2,1,0,19,43,19,54,,
130866,13,2020,8,10,2,11,29,225,,2,1,1,3,3,1,3,1,1,0,695,32.59753056,-83.80546667,42,0,0,1,1,3,0,1,10,0,11,20,11,24,11,45
130867,13,2020,8,11,3,12,59,193,0,1,2,2,3,3,1,4,1,0,0,356,32.23776944,-84.09436667,12,1,0,3,2,1,0,1,1,0,12,55,12,55,,
130868,13,2020,8,11,3,13,41,245,310,1,1,1,1,4,2,3,2,1,0,42,33.46965278,-82.06210556,8,0,0,4,1,1,0,1,1,0,,,,,,
130869,13,2020,8,11,3,16,13,59,270,1,2,2,2,4,2,4,2,0,0,47,34.02554167,-83.329475,12,6,0,2,3,1,0,1,10,0,,,,,,
130870,13,2020,8,11,3,18,19,177,,1,1,1,1,2,1,3,1,1,0,913,31.84665278,-84.22649444,8,0,0,1,1,1,0,1,10,0,18,21,18,25,,
130871,13,2020,8,12,4,6,31,117,0,1,3,3,3,2,2,3,1,1,0,388,34.28213611,-84.0763,12,6,0,2,2,1,0,4,1,0,6,13,6,25,6,45
130872,13,2020,8,12,4,10,9,315,0,1,1,1,1,4,1,7,2,0,0,48,31.93740278,-83.35596944,53,0,0,1,1,4,0,1,10,0,10,7,10,12,,
130873,13,2020,8,12,4,15,38,5,,1,2,2,8,2,1,3,1,1,0,627,31.47609444,-82.44929167,12,1,0,1,1,1,0,1,1,1,15,48,15,55,16,35
130874,13,2020,8,13,5,14,4,119,0,1,2,2,2,3,1,5,1,0,0,239,34.42720833,-83.14498333,12,2,0,1,1,1,0,1,1,0,14,3,14,5,16,16
130875,13,2020,8,13,5,17,48,67,0,1,2,2,3,3,2,4,1,0,0,667,33.91896111,-84.54915278,12,6,0,2,2,1,0,1,10,0,17,58,17,59,18,11
130876,13,2020,8,14,6,6,15,121,0,1,1,1,1,3,2,4,1,0,0,65,33.58878611,-84.468975,8,0,0,3,2,1,0,1,1,0,6,16,6,28,7,8
130877,13,2020,8,14,6,7,4,71,0,1,1,1,1,3,1,5,1,0,0,120,31.07652222,-83.95574722,34,0,0,1,1,4,0,1,1,0,7,7,7,22,,
130878,13,2020,8,14,6,7,42,255,,1,1,1,1,3,2,4,1,0,0,709,33.23900833,-84.32816111,38,0,0,1,1,4,0,1,1,0,7,40,7,47,,
130879,13,2020,8,14,6,11,5,215,1280,1,2,2,2,2,2,3,1,1,0,1508,32.506975,-84.97293333,12,6,0,2,2,1,0,1,1,0,11,5,11,11,11,16
130880,13,2020,8,14,6,16,57,295,,2,3,3,4,3,2,3,1,1,0,49,34.95315833,-85.26985278,12,2,0,1,1,1,0,1,10,0,16,56,16,56,17,45
130881,13,2020,8,14,6,18,47,121,4790,1,2,2,2,3,2,3,1,1,0,208,34.03961111,-84.34266944,12,6,0,8,1,1,0,1,10,0,,,,,,
130882,13,2020,8,15,7,23,37,89,0,1,1,1,2,3,2,4,1,0,0,455,33.71176667,-84.271625,8,0,0,3,2,1,0,3,1,0,23,54,0,0,0,16
130883,13,2020,8,16,1,6,0,71,0,1,1,1,2,6,2,4,4,0,0,7,31.15921944,-83.80056667,31,0,0,1,1,4,0,4,1,0,6,5,6,11,,
130884,13,2020,8,16,1,11,7,127,0,1,1,1,1,3,2,4,1,0,0,119,31.27484167,-81.52655,42,0,0,1,1,4,0,1,1,0,11,7,11,11,,
130885,13,2020,8,16,1,20,29,89,1610,1,1,1,1,4,2,5,2,1,0,8,33.72934167,-84.30904167,8,0,0,1,1,1,0,5,1,0,20,30,20,40,21,15
130886,13,2020,8,17,2,20,44,135,0,1,2,2,3,4,2,4,2,0,0,8,33.88935,-84.17465556,12,6,0,2,3,1,0,2,1,0,,,,,,
130887,13,2020,8,17,2,22,33,89,0,1,2,2,2,3,2,4,2,0,0,30,33.73780278,-84.245,12,1,0,3,3,1,0,2,1,0,22,40,22,44,23,15
130888,13,2020,8,18,3,0,0,89,0,1,1,1,1,1,2,1,1,1,0,341,33.89578889,-84.26508611,34,0,1,5,1,8,0,2,1,0,0,13,0,25,1,4
130889,13,2020,8,18,3,0,33,153,0,1,1,1,1,1,2,1,1,1,0,1402,32.52715278,-83.74323333,59,0,0,1,1,3,0,2,1,0,0,,0,43,,
130890,13,2020,8,18,3,22,1,125,0,1,1,1,2,3,1,4,1,0,0,509,33.31766111,-82.54840833,34,0,0,1,1,4,0,2,1,0,22,14,22,34,1,6
130891,13,2020,8,19,4,20,27,121,280,2,1,1,4,1,2,1,1,1,0,530,33.75146667,-84.45760833,24,0,0,1,1,4,0,2,2,0,20,28,20,35,21,25
130892,13,2020,8,19,4,21,50,255,,1,1,1,1,2,2,3,1,1,0,1960,33.19180833,-84.28649444,5,0,0,3,3,1,0,2,10,0,21,58,22,4,,
130893,13,2020,8,21,6,0,25,245,310,1,1,1,1,1,2,1,1,1,0,11,33.47811389,-82.08593056,8,0,1,18,1,1,0,2,10,0,,,,,,
130894,13,2020,8,21,6,2,22,89,0,1,2,2,3,1,2,1,1,1,0,1200,33.70351944,-84.16979167,12,1,1,18,1,1,0,3,1,0,2,21,2,43,3,25
130895,13,2020,8,21,6,5,45,117,0,1,1,1,1,3,2,4,1,0,0,197,34.24661389,-84.02550278,32,0,0,1,1,4,0,3,2,0,6,13,6,30,,
130896,13,2020,8,22,7,0,0,57,2770,1,1,1,1,6,2,4,4,0,0,5,34.15959722,-84.50770556,24,0,0,1,1,4,0,2,1,0,,,,,,
130897,13,2020,8,22,7,4,18,121,280,1,1,1,1,6,2,4,4,0,0,5,33.85297222,-84.40699722,30,0,0,1,1,4,0,3,1,0,4,23,4,32,,
130898,13,2020,8,22,7,17,57,217,0,1,1,1,1,4,2,7,2,0,0,21,33.54836111,-83.89543333,42,0,0,1,1,4,0,1,1,0,,,,,,
130899,13,2020,8,22,7,23,39,57,0,1,1,1,3,1,2,1,1,1,0,2757,34.08140278,-84.63548333,24,0,0,1,1,4,0,2,2,0,,,,,,
130900,13,2020,8,23,1,20,39,95,90,2,3,3,6,9,2,5,4,0,0,4,31.5495,-84.16076389,12,7,1,3,2,1,0,2,2,0,20,40,20,47,21,28
130901,13,2020,8,24,2,2,35,135,5080,1,1,1,2,4,2,2,2,1,0,65,33.87505278,-84.02217778,42,0,0,1,1,4,0,2,10,0,,,,,,
130902,13,2020,8,24,2,12,30,231,,1,1,1,1,3,1,4,1,0,0,661,33.10566667,-84.31194722,8,0,0,1,1,1,0,1,1,0,12,31,12,45,13,45
130904,13,2020,8,24,2,17,40,97,0,1,1,1,1,4,2,5,2,0,0,7,33.76284167,-84.72503333,10,0,0,6,1,1,0,1,10,0,17,42,17,45,,
130905,13,2020,8,24,2,20,13,153,0,1,1,1,1,4,2,7,2,0,0,0,32.64333611,-83.70786667,8,0,0,1,1,1,0,5,10,0,20,14,20,27,20,54
130906,13,2020,8,25,3,1,39,151,0,1,1,1,1,6,2,5,2,0,0,15,33.495225,-84.283475,42,0,0,1,1,4,0,2,2,0,,,,,,
130907,13,2020,8,25,3,10,25,63,1250,1,2,1,2,1,2,1,1,1,0,110,33.61626111,-84.44113056,14,0,1,19,1,2,0,1,2,0,10,36,10,45,,
130909,13,2020,8,25,3,15,15,185,0,1,2,2,5,2,2,3,1,1,0,175,30.82596389,-83.22804722,12,6,0,2,2,1,0,1,1,0,15,24,15,33,,
130910,13,2020,8,26,4,1,53,115,4760,1,2,2,2,2,2,3,1,1,0,2970,34.30229444,-85.17594167,12,6,0,2,2,1,0,3,1,0,1,53,2,1,,
130911,13,2020,8,26,4,15,13,89,0,1,2,2,2,4,2,3,2,1,0,67,33.71663056,-84.21552778,12,6,0,8,1,1,0,1,1,0,,,,,,
130912,13,2020,8,26,4,20,35,77,0,1,1,1,2,2,1,4,1,0,0,404,33.26291111,-84.7789,8,0,0,1,1,1,0,2,10,0,20,36,20,46,21,19
130913,13,2020,8,27,5,,,21,3390,1,1,1,1,6,2,5,2,0,0,5,32.82565833,-83.72929722,8,0,0,1,1,1,0,4,10,0,7,35,7,39,,
130914,13,2020,8,27,5,6,17,77,0,1,2,1,1,1,2,1,1,1,0,571,33.51068333,-84.63214444,14,0,0,1,1,2,0,2,1,0,8,14,9,3,,
130915,13,2020,8,27,5,20,0,139,,1,1,1,2,4,2,7,2,0,0,16,34.133025,-83.91209722,53,0,0,1,1,4,0,5,10,0,20,7,20,14,20,47
130916,13,2020,8,28,6,17,0,213,0,2,2,2,3,2,1,5,1,1,0,6,34.69169167,-84.73260833,12,6,0,1,1,1,0,1,10,0,17,0,17,10,8,44
130917,13,2020,8,28,6,22,49,121,0,1,2,2,2,3,2,4,1,0,0,75,33.60219722,-84.47206389,12,6,0,2,3,1,0,3,1,0,22,49,22,57,,
130918,13,2020,8,29,7,3,32,51,4910,1,1,1,1,3,2,3,1,1,0,260,31.98298056,-81.17722778,8,0,0,1,1,1,0,2,1,0,3,35,3,40,4,0
130919,13,2020,12,5,7,11,46,151,2560,1,1,1,1,4,2,7,2,0,0,19,33.40134444,-84.29212778,1,0,0,1,1,1,0,1,1,0,,,,,,
130920,13,2020,8,29,7,4,5,255,0,1,2,2,3,4,2,4,2,0,0,40,33.33244722,-84.28836667,12,8,0,1,1,1,0,2,1,0,4,4,4,4,6,2
130921,13,2020,8,29,7,21,25,57,6040,1,1,1,1,4,2,7,2,0,0,1,34.09805556,-84.53606111,33,0,0,1,1,4,0,3,1,0,21,29,21,35,21,58
130922,13,2020,8,29,7,22,19,139,0,1,3,3,6,2,2,3,1,1,0,3068,34.27003889,-83.77949167,12,6,0,2,2,1,0,2,1,0,22,20,22,20,,
