st_case,veh_no,per_no,person_type,inj_sev,seat_pos,rest_use,air_bag,ejection,doa,make,car_year,model,body_class,min_veh_weight,max_veh_weight,fatal,num_occupants,deaths_in_vehicle,vehicle_age,fatals_crash,persons_total,HARM_EV,manner_collision,hour,ems_arrival_hour,drive_type_id,drive_train,overall_front_safetyrating,front_passenger_safetyrating,front_driver_safetyrating,rollover_risk,curb_weight,car_height,car_width,car_length
10076,1,1,1,4,11,3,NA,0,7,HONDA,2014,PILOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,1,1,1,9,1,2,12,6,14,14,2,4WD,4,4,5,0.164,2069,1821,1994,4862
10077,2,1,1,4,11,3,1,0,7,HONDA,2005,ACCORD,Coupe,11,11,1,2,2,18,2,3,12,2,18,19,NA,NA,NA,5,5,0,1450,1450,1811,4810
10077,2,2,2,4,13,3,1,0,7,HONDA,2005,ACCORD,Coupe,11,11,1,2,2,18,2,3,12,2,18,19,NA,NA,NA,5,5,0,1450,1450,1811,4810
10084,1,1,1,4,11,3,1,0,0,NISSAN,2001,ALTIMA,Sedan/Saloon,11,11,1,NA,NA,NA,1,6,12,6,11,11,NA,NA,NA,5,4,0,1335,1410,1740,4665
10084,1,2,2,3,13,3,1,0,0,NISSAN,2001,ALTIMA,Sedan/Saloon,11,11,0,NA,NA,NA,1,6,12,6,11,11,NA,NA,NA,5,4,0,1335,1410,1740,4665
10088,1,1,1,0,11,3,20,0,0,NISSAN,2015,SENTRA,Sedan/Saloon,11,11,0,NA,NA,NA,1,1,8,0,2,NA,1,FWD,4,4,4,0.118,1302,1495,1760,4625
10091,2,1,1,1,11,3,20,0,0,GMC,2015,YUKON,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,1,0,8,1,3,12,6,15,15,2,4WD,5,5,5,0.222,2583,1890,2045,5179
10096,1,1,1,4,11,20,20,0,7,HONDA,2002,CIVIC,Coupe,11,11,1,1,1,21,1,3,12,6,16,16,NA,NA,NA,5,5,0,1161,1415,1700,4435
10096,3,1,1,1,11,3,20,0,0,FORD,2005,FOCUS,Sedan/Saloon,11,11,0,1,0,18,1,3,12,6,16,16,NA,NA,NA,4,4.5,0,1220,1440,1700,4318
10104,1,1,1,0,11,3,20,0,0,CHEVROLET,2007,AVALANCHE,Sport Utility Truck (SUT),12,12,0,3,0,16,1,3,8,0,19,20,7,RWD,NA,5,5,0.212,2419,1953,2009,5621
10104,1,2,2,0,13,3,20,0,0,CHEVROLET,2007,AVALANCHE,Sport Utility Truck (SUT),12,12,0,3,0,16,1,3,8,0,19,20,7,RWD,NA,5,5,0.212,2419,1953,2009,5621
10104,1,3,2,0,21,3,20,0,0,CHEVROLET,2007,AVALANCHE,Sport Utility Truck (SUT),12,12,0,3,0,16,1,3,8,0,19,20,7,RWD,NA,5,5,0.212,2419,1953,2009,5621
10107,1,1,1,2,11,3,1,0,0,CHEVROLET,2018,EQUINOX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,2,1,5,1,2,34,0,17,17,3,AWD,5,5,5,0.1645,1593,1661,1844,4651
10107,1,2,2,4,13,3,1,0,0,CHEVROLET,2018,EQUINOX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,2,1,5,1,2,34,0,17,17,3,AWD,5,5,5,0.1645,1593,1661,1844,4651
10108,1,1,9,3,19,20,20,1,0,GMC,2006,ENVOY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,2,1,17,1,2,25,0,19,19,2,4WD,NA,4,3,0.191,2072,1864,1897,4867
10108,1,2,9,4,19,20,20,1,0,GMC,2006,ENVOY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,2,1,17,1,2,25,0,19,19,2,4WD,NA,4,3,0.191,2072,1864,1897,4867
