st_case,veh_no,per_no,person_type,inj_sev,seat_pos,rest_use,air_bag,ejection,doa,make,car_year,model,body_class,min_veh_weight,max_veh_weight,fatal,num_occupants,deaths_in_vehicle,vehicle_age,fatals_crash,persons_total,HARM_EV,manner_collision,hour,ems_arrival_hour,drive_type_id,drive_train,overall_front_safetyrating,front_passenger_safetyrating,front_driver_safetyrating,rollover_risk,curb_weight,car_height,car_width,car_length
80186,1,2,2,3,13,20,20,1,0,PONTIAC,2005,G6,Sedan/Saloon,11,11,0,2,1,18,1,2,1,0,4,4,NA,NA,NA,4,5,0,1574,1440,1778,4803
80188,2,1,1,3,11,3,NA,0,0,SUBARU,2015,XV CROSSTREK,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,1,0,8,1,2,12,2,15,15,3,AWD,4,4,4,0.151,1455,1615,1780,4450
80201,2,1,1,0,11,3,20,0,0,PONTIAC,2001,GRAND PRIX,Sedan/Saloon,11,11,0,1,0,22,1,2,8,0,21,21,NA,NA,NA,4,4,0,1559,1389,1847,4991
80203,3,1,1,0,11,3,20,0,0,JEEP,2011,GRAND CHEROKEE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,NA,NA,NA,2,9,12,1,18,18,2,4WD,4,4,5,0.168,2155,1763,1943,4821
80207,1,1,1,0,11,3,20,0,0,DODGE,2009,GRAND CARAVAN,Minivan,12,12,0,1,0,14,1,1,8,0,17,17,1,FWD,NA,5,5,0,2010,1753,1953,5143
80208,1,1,1,4,11,3,1,0,7,SUBARU,2014,IMPREZA,Wagon,11,11,1,1,1,9,1,3,12,2,18,18,3,AWD,4,4,4,0.099,1370,1466,1740,4415
80209,2,1,1,0,11,3,20,0,0,HONDA,2003,PILOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,2,0,20,1,3,12,6,22,22,NA,NA,NA,5,5,0,1986,1821,1969,4775
80209,2,2,2,1,13,3,20,0,0,HONDA,2003,PILOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,2,0,20,1,3,12,6,22,22,NA,NA,NA,5,5,0,1986,1821,1969,4775
80212,1,1,1,4,11,20,1,1,7,ACURA,2002,RSX,Hatchback/Liftback/Notchback,11,11,1,1,1,21,1,2,12,2,5,NA,NA,NA,NA,5,5,0,1216,1390,1725,4374
80215,1,1,1,2,11,3,1,0,0,SUBARU,2008,FORESTER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,3,0,15,1,5,12,2,20,21,3,AWD,NA,5,5,0.159,1465,1669,1730,4449
80215,1,2,2,1,13,3,1,0,0,SUBARU,2008,FORESTER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,3,0,15,1,5,12,2,20,21,3,AWD,NA,5,5,0.159,1465,1669,1730,4449
80215,1,3,2,1,22,20,20,0,0,SUBARU,2008,FORESTER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,3,0,15,1,5,12,2,20,21,3,AWD,NA,5,5,0.159,1465,1669,1730,4449
80215,2,1,1,1,11,3,1,0,0,MAZDA,2004,MAZDA3,Hatchback/Liftback/Notchback,11,11,0,2,1,19,1,5,12,2,20,21,NA,NA,NA,NA,4,0,1280,1465,1755,4490
80215,2,2,2,4,13,3,1,0,NA,MAZDA,2004,MAZDA3,Hatchback/Liftback/Notchback,11,11,1,2,1,19,1,5,12,2,20,21,NA,NA,NA,NA,4,0,1280,1465,1755,4490
80229,2,1,1,0,11,3,20,0,0,CHEVROLET,2019,EQUINOX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,1,0,4,1,2,1,0,16,NA,3,AWD,5,5,5,0.185,1571,1661,1844,4651
80233,1,1,1,4,11,20,20,1,0,BUICK,2003,LESABRE,Sedan/Saloon,11,11,1,NA,NA,NA,1,1,1,0,15,NA,NA,NA,NA,5,4,0,1639,1433,1854,5146
80238,1,1,1,4,11,20,1,0,7,BUICK,2002,CENTURY,Sedan/Saloon,11,11,1,NA,NA,NA,1,1,14,0,21,21,NA,NA,NA,3,4,0,1565,1438,1852,4940
80246,1,1,1,0,11,3,20,0,0,JEEP,2015,WRANGLER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,NA,NA,NA,1,1,8,0,0,1,2,4WD,NA,NA,NA,0.279,1969,1801,1872,4684
80247,2,1,1,1,11,3,1,0,0,DODGE,2000,DAKOTA,Pickup,11,11,0,2,0,23,1,8,12,6,18,19,NA,NA,NA,NA,NA,0,1699,1664,1816,5311
80247,2,2,2,1,13,3,1,0,0,DODGE,2000,DAKOTA,Pickup,11,11,0,2,0,23,1,8,12,6,18,19,NA,NA,NA,NA,NA,0,1699,1664,1816,5311
80253,2,1,1,0,11,3,NA,0,0,KIA,2018,RIO,Sedan/Saloon,11,11,0,1,0,5,1,3,1,0,20,NA,1,FWD,NA,NA,NA,0,1180,1450,1725,4385
80254,1,1,1,0,11,3,20,0,0,GMC,2006,SIERRA,Pickup,12,12,0,1,0,17,1,1,8,0,11,11,2,4WD,NA,3,4,0.185,2250,1900,2000,5770
80255,1,1,1,4,11,20,1,0,7,BUICK,2002,CENTURY,Sedan/Saloon,11,11,1,NA,NA,NA,1,4,12,1,14,14,NA,NA,NA,3,4,0,1565,1438,1852,4940
80259,1,1,1,4,11,20,1,1,7,HONDA,1995,CIVIC,Coupe,11,11,1,1,1,28,1,1,1,0,21,NA,NA,NA,NA,3.5,3,0,1068,1346,1700,4400
80261,1,1,1,0,11,3,20,0,0,LINCOLN,2007,MKZ,Sedan/Saloon,11,11,0,1,0,16,1,1,8,0,23,23,1,FWD,NA,4,4,0.092,1574,1425,1842,4839
80262,1,1,1,0,11,3,20,0,0,BMW,2017,X3,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,1,0,6,1,1,9,0,11,NA,3,AWD,5,4,5,0.169,1845,1675,1881,4657
80266,1,1,1,4,11,20,20,1,7,CHEVROLET,2005,UPLANDER,Minivan,11,11,1,1,1,18,1,1,1,0,13,NA,3,AWD,NA,5,4.5,0,1832,1801,1913,5131
80282,1,1,1,4,11,20,NA,0,7,CHEVROLET,2020,BLAZER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,1,1,1,3,1,2,12,2,7,NA,3,AWD,5,4,5,0.147,1845,1702,1948,4862
80289,2,1,1,4,11,3,NA,0,7,FORD,2020,EXPLORER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,1,4,1,3,1,5,12,2,17,NA,2,4WD,5,5,5,0.151,1994,1783,2004,5050
80289,2,2,2,2,13,3,NA,0,0,FORD,2020,EXPLORER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,4,1,3,1,5,12,2,17,NA,2,4WD,5,5,5,0.151,1994,1783,2004,5050
80289,2,3,2,3,21,3,3,0,0,FORD,2020,EXPLORER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,4,1,3,1,5,12,2,17,NA,2,4WD,5,5,5,0.151,1994,1783,2004,5050
80289,2,4,2,2,23,3,3,0,0,FORD,2020,EXPLORER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,4,1,3,1,5,12,2,17,NA,2,4WD,5,5,5,0.151,1994,1783,2004,5050
80295,1,1,1,4,11,20,1,0,0,MINI,2019,COUNTRYMAN,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,NA,NA,NA,1,7,12,6,6,NA,3,AWD,NA,NA,NA,0,1665,1556,1821,4298
80297,2,1,1,1,11,3,1,0,0,SUBARU,2007,FORESTER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,2,0,16,1,5,12,2,15,NA,3,AWD,NA,5,5,0.159,1440,1700,1735,4491
80297,2,2,2,1,13,3,1,0,0,SUBARU,2007,FORESTER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,2,0,16,1,5,12,2,15,NA,3,AWD,NA,5,5,0.159,1440,1700,1735,4491
80300,1,1,1,3,11,3,20,0,0,CHEVROLET,2018,CRUZE,Hatchback/Liftback/Notchback,11,11,0,1,0,5,1,1,8,0,23,23,1,FWD,5,5,5,0.107,1321,1458,1791,4667
80303,4,1,1,0,11,3,NA,0,0,SUBARU,2015,OUTBACK,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,1,0,8,1,5,12,1,4,4,3,AWD,5,5,5,0.175,1699,1679,1839,4816
80304,1,1,1,0,11,3,2,0,0,SUBARU,2017,FORESTER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,1,0,6,1,2,12,6,9,10,3,AWD,4,4,5,0.169,1515,1735,1795,4600
80306,1,1,1,1,11,3,20,0,0,NISSAN,2002,ALTIMA,Sedan/Saloon,11,11,0,NA,NA,NA,1,3,12,6,16,16,NA,NA,NA,4,4,0,1375,1429,1786,4872
80306,1,2,2,4,23,20,20,1,0,NISSAN,2002,ALTIMA,Sedan/Saloon,11,11,1,NA,NA,NA,1,3,12,6,16,16,NA,NA,NA,4,4,0,1375,1429,1786,4872
80306,2,1,1,1,11,3,1,0,0,JEEP,2015,WRANGLER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,NA,NA,NA,1,3,12,6,16,16,2,4WD,NA,NA,NA,0.279,1969,1801,1872,4684
80311,1,1,1,4,11,20,20,1,0,OLDSMOBILE,2003,ALERO,Coupe,11,11,1,3,1,20,1,3,33,0,18,18,NA,NA,NA,4.5,4,0,1420,1410,1781,4742
80311,1,2,2,1,13,3,20,0,0,OLDSMOBILE,2003,ALERO,Coupe,11,11,0,3,1,20,1,3,33,0,18,18,NA,NA,NA,4.5,4,0,1420,1410,1781,4742
80311,1,3,2,1,23,3,20,0,0,OLDSMOBILE,2003,ALERO,Coupe,11,11,0,3,1,20,1,3,33,0,18,18,NA,NA,NA,4.5,4,0,1420,1410,1781,4742
80313,1,1,1,0,11,3,20,0,0,JEEP,2011,WRANGLER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,NA,NA,NA,1,5,12,6,18,18,2,4WD,NA,NA,NA,0.279,1760,1801,1872,4173
80313,1,2,2,0,13,20,20,0,0,JEEP,2011,WRANGLER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,NA,NA,NA,1,5,12,6,18,18,2,4WD,NA,NA,NA,0.279,1760,1801,1872,4173
80313,1,3,2,3,21,20,20,1,0,JEEP,2011,WRANGLER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,NA,NA,NA,1,5,12,6,18,18,2,4WD,NA,NA,NA,0.279,1760,1801,1872,4173
80313,1,4,2,4,22,20,20,1,0,JEEP,2011,WRANGLER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,NA,NA,NA,1,5,12,6,18,18,2,4WD,NA,NA,NA,0.279,1760,1801,1872,4173
80320,2,1,1,4,11,3,NA,0,0,MERCEDES-BENZ,2012,GL-CLASS,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,1,2,1,11,1,3,11,0,21,21,3,AWD,NA,NA,NA,0,2445,1840,1920,5099
80320,2,2,2,2,13,3,NA,0,0,MERCEDES-BENZ,2012,GL-CLASS,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,2,1,11,1,3,11,0,21,21,3,AWD,NA,NA,NA,0,2445,1840,1920,5099
80321,1,1,1,4,11,3,20,0,7,MERCURY,2003,GRAND MARQUIS,Sedan/Saloon,11,11,1,1,1,20,2,2,12,6,8,9,NA,NA,NA,5,5,0,1794,1448,1989,5385
80322,2,1,1,2,11,3,20,0,0,SUBARU,2018,FORESTER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,1,0,5,1,2,12,6,14,15,3,AWD,4,4,5,0.169,1586,1735,1795,4595
80323,1,1,1,0,11,3,20,0,0,ACURA,2002,TL,Sedan/Saloon,11,11,0,1,0,21,1,1,8,0,22,22,NA,NA,NA,4,4,0,1613,1440,1786,4874
80337,1,1,1,1,11,20,20,0,0,GMC,2006,SIERRA,Pickup,12,12,0,2,0,17,1,3,12,6,18,NA,2,4WD,NA,3,4,0.185,2250,1900,2000,5770
80337,1,2,2,0,13,3,20,0,0,GMC,2006,SIERRA,Pickup,12,12,0,2,0,17,1,3,12,6,18,NA,2,4WD,NA,3,4,0.185,2250,1900,2000,5770
80339,2,1,1,1,11,3,NA,0,0,TOYOTA,2017,COROLLA,Sedan/Saloon,11,11,0,2,1,6,1,3,12,2,15,15,1,FWD,4,4,5,0.118,1295,1455,1775,4651
80339,2,2,2,4,13,3,NA,0,0,TOYOTA,2017,COROLLA,Sedan/Saloon,11,11,1,2,1,6,1,3,12,2,15,15,1,FWD,4,4,5,0.118,1295,1455,1775,4651
80344,1,1,1,4,11,20,1,2,NA,MITSUBISHI,2004,LANCER,Sedan/Saloon,11,11,1,1,1,19,1,2,12,2,12,12,NA,NA,NA,4,4,0,1220,1445,1695,4480
80349,1,1,1,4,11,20,20,1,7,JEEP,2014,WRANGLER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,NA,NA,NA,1,1,33,0,18,18,2,4WD,NA,NA,NA,0.279,1760,1801,1872,4173
80362,1,1,1,4,11,3,20,0,7,CHEVROLET,2004,CAVALIER,Sedan/Saloon,11,11,1,1,1,19,1,2,12,6,18,NA,NA,NA,NA,4,4,0,1180,1395,1700,4597
80365,1,1,1,4,11,20,20,1,7,HONDA,2001,CIVIC,Sedan/Saloon,11,11,1,1,1,22,1,1,1,0,4,4,NA,NA,NA,5,5,0,1156,1435,1699,4435
80380,2,1,1,0,11,3,1,0,0,HONDA,2004,ACCORD,Sedan/Saloon,11,11,0,1,0,19,1,2,12,2,5,5,NA,NA,NA,5,5,0,1415,1440,1811,4813
80383,2,1,1,4,11,3,1,0,7,SUBARU,2019,FORESTER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,1,1,4,2,4,12,2,2,NA,3,AWD,5,5,5,0.169,1585,1730,1816,4625
80384,1,1,1,4,11,20,1,1,0,FORD,1999,CONTOUR,Sedan/Saloon,11,11,1,1,1,24,1,1,43,0,8,9,NA,NA,NA,NA,NA,0,1280,1382,1755,4679
80385,1,1,1,1,11,3,3,0,0,GMC,2008,ACADIA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,2,1,15,1,3,12,6,13,NA,3,AWD,NA,5,5,0.155,2233,1849,1986,5108
80385,1,2,2,4,13,3,3,0,7,GMC,2008,ACADIA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,1,2,1,15,1,3,12,6,13,NA,3,AWD,NA,5,5,0.155,2233,1849,1986,5108
80387,1,1,1,1,11,3,1,0,0,CHEVROLET,2018,CAMARO,Coupe,11,11,0,1,0,5,1,2,12,6,20,20,4,RWD,4,4,4,0.083,1528,1349,1897,4783
80394,1,1,1,0,11,1,20,0,0,SUBARU,2017,FORESTER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,1,0,6,1,2,12,7,11,11,3,AWD,4,4,5,0.169,1515,1735,1795,4600
80402,2,1,1,2,11,3,1,0,0,SUBARU,2007,OUTBACK,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,1,0,16,1,2,12,6,17,NA,3,AWD,NA,5,5,0.0795,1525,1600,1770,4729
80407,1,1,1,0,11,3,1,0,0,HONDA,2003,PILOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,2,0,20,1,4,12,6,19,19,NA,NA,NA,5,5,0,1986,1821,1969,4775
80407,1,2,2,0,13,3,1,0,0,HONDA,2003,PILOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,2,0,20,1,4,12,6,19,19,NA,NA,NA,5,5,0,1986,1821,1969,4775
80407,3,1,1,0,11,3,20,0,0,CHEVROLET,2018,COLORADO,Pickup,11,11,0,1,0,5,1,4,12,6,19,19,2,4WD,4,4,4.5,0.213,2070,1796,1887,5403
80421,1,1,1,4,11,3,NA,0,7,SUBARU,2020,FORESTER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,1,1,3,1,2,12,8,8,NA,3,AWD,5,5,5,0.169,1565,1730,1816,4625
80422,3,1,1,0,11,3,20,0,0,SUBARU,2018,WRX,Sedan/Saloon,11,11,0,1,0,5,1,3,12,1,23,23,3,AWD,NA,NA,NA,0,1508,1466,1811,4595
80425,2,1,1,4,11,3,1,0,0,TOYOTA,1994,COROLLA,Sedan/Saloon,11,11,1,1,1,29,1,2,12,6,18,18,NA,NA,NA,4,4,0,1050,1360,1685,4290
80429,2,1,1,0,11,3,NA,0,0,DODGE,2018,JOURNEY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,4,0,5,1,5,12,6,19,20,3,AWD,4,4,5,0.179,1890,1702,1834,4888
80429,2,2,2,0,13,3,NA,0,0,DODGE,2018,JOURNEY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,4,0,5,1,5,12,6,19,20,3,AWD,4,4,5,0.179,1890,1702,1834,4888
80429,2,3,2,0,21,4,20,0,0,DODGE,2018,JOURNEY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,4,0,5,1,5,12,6,19,20,3,AWD,4,4,5,0.179,1890,1702,1834,4888
80429,2,4,2,0,31,4,20,0,0,DODGE,2018,JOURNEY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,4,0,5,1,5,12,6,19,20,3,AWD,4,4,5,0.179,1890,1702,1834,4888
80433,1,1,1,4,11,20,20,1,NA,KIA,2001,RIO,Sedan/Saloon,11,11,1,1,1,22,1,1,1,0,20,20,NA,NA,NA,NA,NA,0,1005,1435,1675,4215
80447,1,1,1,4,11,20,1,1,7,SUBARU,2014,IMPREZA,Sedan/Saloon,11,11,1,1,1,9,1,3,12,1,23,0,3,AWD,4,4,4,0.099,1370,1466,1740,4415
80450,1,1,1,4,11,3,NA,0,7,SUBARU,2017,OUTBACK,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,1,1,6,1,1,32,0,10,10,3,AWD,5,5,5,0.175,1655,1690,1839,4860
80453,2,1,1,4,11,3,NA,0,7,HYUNDAI,2020,ELANTRA,Sedan/Saloon,11,11,1,3,3,3,3,6,24,0,6,NA,1,FWD,4,4,4,0.107,1281,1435,1800,4620
80453,2,2,2,4,13,3,NA,0,7,HYUNDAI,2020,ELANTRA,Sedan/Saloon,11,11,1,3,3,3,3,6,24,0,6,NA,1,FWD,4,4,4,0.107,1281,1435,1800,4620
80453,2,3,2,4,23,20,20,0,7,HYUNDAI,2020,ELANTRA,Sedan/Saloon,11,11,1,3,3,3,3,6,24,0,6,NA,1,FWD,4,4,4,0.107,1281,1435,1800,4620
80460,1,1,1,0,11,3,20,0,0,PONTIAC,1998,FIREBIRD,Hatchback/Liftback/Notchback,11,11,0,1,0,25,1,1,9,0,6,6,NA,NA,NA,5,4,0,1550,1316,1869,4922
80461,1,1,1,0,11,3,1,0,0,NISSAN,2015,ALTIMA,Sedan/Saloon,11,11,0,NA,NA,NA,1,2,12,2,8,8,1,FWD,5,4,5,0.103,1450,1471,1831,4864
80463,2,1,1,0,11,3,20,0,0,FORD,2016,FLEX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,2,0,7,1,3,1,0,15,15,3,AWD,NA,NA,NA,0.151,2150,1727,1928,5136
80463,2,2,2,0,13,3,20,0,0,FORD,2016,FLEX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,2,0,7,1,3,1,0,15,15,3,AWD,NA,NA,NA,0.151,2150,1727,1928,5136
80464,2,1,1,2,11,3,NA,0,0,CHEVROLET,2018,TAHOE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,7,1,5,1,9,12,6,14,15,2,4WD,5,5,5,0.222,2561,1890,2045,5179
80464,2,2,2,4,13,3,NA,0,7,CHEVROLET,2018,TAHOE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,1,7,1,5,1,9,12,6,14,15,2,4WD,5,5,5,0.222,2561,1890,2045,5179
80464,2,3,2,2,23,3,3,0,0,CHEVROLET,2018,TAHOE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,7,1,5,1,9,12,6,14,15,2,4WD,5,5,5,0.222,2561,1890,2045,5179
80464,2,4,2,2,21,3,3,0,0,CHEVROLET,2018,TAHOE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,7,1,5,1,9,12,6,14,15,2,4WD,5,5,5,0.222,2561,1890,2045,5179
80464,2,5,2,2,32,3,20,0,0,CHEVROLET,2018,TAHOE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,7,1,5,1,9,12,6,14,15,2,4WD,5,5,5,0.222,2561,1890,2045,5179
80464,2,6,2,2,31,2,20,0,0,CHEVROLET,2018,TAHOE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,7,1,5,1,9,12,6,14,15,2,4WD,5,5,5,0.222,2561,1890,2045,5179
80464,2,7,2,2,33,4,20,0,0,CHEVROLET,2018,TAHOE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,7,1,5,1,9,12,6,14,15,2,4WD,5,5,5,0.222,2561,1890,2045,5179
80465,1,1,1,4,11,20,NA,0,0,SUBARU,2010,IMPREZA,Hatchback/Liftback/Notchback,11,11,1,1,1,13,1,4,12,2,21,21,3,AWD,NA,5,5,0.103,1430,1476,1740,4415
80467,2,1,1,4,11,20,1,0,7,HONDA,2004,CIVIC,Coupe,11,11,1,1,1,19,1,2,12,6,0,0,NA,NA,NA,5,5,0,1195,1415,1715,4455
80471,2,1,1,0,11,3,20,0,0,HONDA,2000,CIVIC,Sedan/Saloon,11,11,0,1,0,23,1,2,8,0,21,21,NA,NA,NA,4,4,0,1150,1375,1700,4450
80474,1,1,1,0,11,3,20,0,0,CHEVROLET,2003,CAVALIER,Coupe,11,11,0,1,0,20,1,1,8,0,5,5,NA,NA,NA,4,4,0,1202,1390,1725,4595
80476,1,1,1,4,11,3,20,0,7,HONDA,2003,ACCORD,Sedan/Saloon,11,11,1,2,1,20,1,2,30,0,0,NA,NA,NA,NA,5,5,0,1390,1440,1760,4735
80476,1,2,2,3,13,3,20,0,0,HONDA,2003,ACCORD,Sedan/Saloon,11,11,0,2,1,20,1,2,30,0,0,NA,NA,NA,NA,5,5,0,1390,1440,1760,4735
80485,3,1,1,3,11,3,NA,0,0,HONDA,2014,PILOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,7,1,9,2,9,12,6,10,NA,2,4WD,4,4,5,0.164,2069,1821,1994,4862
80485,3,2,2,0,13,3,NA,0,0,HONDA,2014,PILOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,7,1,9,2,9,12,6,10,NA,2,4WD,4,4,5,0.164,2069,1821,1994,4862
80485,3,3,2,3,21,3,20,0,0,HONDA,2014,PILOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,7,1,9,2,9,12,6,10,NA,2,4WD,4,4,5,0.164,2069,1821,1994,4862
80485,3,4,2,4,23,20,3,0,0,HONDA,2014,PILOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,1,7,1,9,2,9,12,6,10,NA,2,4WD,4,4,5,0.164,2069,1821,1994,4862
80485,3,5,2,3,31,3,3,0,0,HONDA,2014,PILOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,7,1,9,2,9,12,6,10,NA,2,4WD,4,4,5,0.164,2069,1821,1994,4862
80485,3,6,2,2,32,3,3,0,0,HONDA,2014,PILOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,7,1,9,2,9,12,6,10,NA,2,4WD,4,4,5,0.164,2069,1821,1994,4862
80485,3,7,2,3,33,4,3,0,0,HONDA,2014,PILOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,7,1,9,2,9,12,6,10,NA,2,4WD,4,4,5,0.164,2069,1821,1994,4862
80490,1,1,1,0,11,NA,20,0,0,SUBARU,2016,CROSSTREK,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,1,0,7,1,1,9,0,12,12,3,AWD,4,4,4,0.151,1450,1615,1803,4450
80499,1,1,1,0,11,3,20,0,0,VOLKSWAGEN,2017,JETTA,Sedan/Saloon,11,11,0,1,0,6,1,1,8,0,17,17,1,FWD,4,4,4,0.111,1330,1453,1778,4656
80502,1,1,1,0,11,NA,20,0,0,GMC,2016,YUKON,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,1,0,7,1,1,8,0,17,17,2,4WD,5,5,5,0.222,2509,1890,2045,5179
80504,1,1,1,4,11,20,NA,0,0,CHEVROLET,2018,MALIBU,Sedan/Saloon,11,11,1,1,1,5,1,1,42,0,4,4,1,FWD,5,4,5,0.102,1422,1455,1854,4923
80506,1,1,1,4,11,20,20,1,7,CHEVROLET,2005,AVEO,Hatchback/Liftback/Notchback,11,11,1,2,1,18,1,2,1,0,13,NA,NA,NA,NA,5,5,0,1075,1496,1671,4239
80506,1,2,2,3,13,20,20,1,0,CHEVROLET,2005,AVEO,Hatchback/Liftback/Notchback,11,11,0,2,1,18,1,2,1,0,13,NA,NA,NA,NA,5,5,0,1075,1496,1671,4239
80512,1,1,1,0,11,3,20,0,0,CHEVROLET,2015,TRAX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,2,0,8,1,2,8,0,18,18,3,AWD,5,5,5,0.179,1461,1674,1776,4248
80512,1,2,2,0,13,3,20,0,0,CHEVROLET,2015,TRAX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,2,0,8,1,2,8,0,18,18,3,AWD,5,5,5,0.179,1461,1674,1776,4248
80515,1,1,1,1,11,3,1,0,0,FORD,2013,EDGE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,1,0,10,1,2,12,6,11,NA,3,AWD,3,3,3,0.14,1947,1702,1928,4720
80518,1,1,1,4,11,20,1,0,7,HONDA,2001,CIVIC,Coupe,11,11,1,2,1,22,1,3,12,2,1,1,NA,NA,NA,5,5,0,1156,1435,1699,4435
80518,1,2,2,2,13,3,1,0,0,HONDA,2001,CIVIC,Coupe,11,11,0,2,1,22,1,3,12,2,1,1,NA,NA,NA,5,5,0,1156,1435,1699,4435
80519,1,1,2,0,13,3,20,0,0,PONTIAC,2002,GRAND AM,Sedan/Saloon,11,11,0,1,0,21,1,1,8,0,10,NA,NA,NA,NA,4.5,4,0,1370,1407,1788,4732
80532,1,1,1,4,11,3,NA,0,0,JAGUAR,2020,XF,Sedan/Saloon,11,11,1,1,1,3,1,1,1,0,4,4,3,AWD,NA,NA,NA,0,1721,1458,1877,4953
80549,1,1,1,4,11,20,NA,0,0,VOLKSWAGEN,2004,JETTA,Sedan/Saloon,11,11,1,2,2,19,2,2,59,0,1,1,NA,NA,NA,5,5,0,1380,1444,1735,4379
