YEAR,STATE,ST_CASE,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_WEATHER,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,A_WRONGWAY,BIA,SPJ_INDIAN,INDIAN_RES,CENSUS_2020_TRACT_FIPS,TRACT
2020,1,10027,1,1,4,1,2,3,2,3,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01129044100,1
2020,1,10028,1,1,4,2,1,4,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,0,0,0,01073004200,1
2020,1,10029,1,1,4,2,1,1,2,1,2,1,1,2,1,13,1,2,2,1,1,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01097006501,1
2020,1,10030,2,1,4,1,1,1,2,1,2,2,2,2,2,13,2,2,1,2,2,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,01087231601,1
2020,1,10031,1,1,4,2,1,1,2,1,2,2,2,1,3,13,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,0,0,0,01115040110,1
2020,1,10032,1,1,4,2,1,2,2,1,2,1,1,1,1,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01073011704,1
2020,1,10033,1,1,4,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01003010200,1
2020,1,10034,1,1,4,2,1,1,2,1,2,2,2,2,3,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,2,0,0,0,01073014208,1
2020,1,10035,1,1,4,2,1,1,2,1,3,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01125012404,1
2020,1,10036,1,1,4,1,1,4,2,1,2,1,2,1,1,13,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01003010200,1
2020,1,10037,1,1,4,2,1,1,2,1,3,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,0,0,0,01125012404,1
2020,1,10038,1,1,4,2,1,1,2,1,3,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01073012701,1
2020,1,10039,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,1,1,1,2,2,2,2,0,0,0,01055010800,1
2020,1,10040,1,1,4,1,2,1,2,3,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,0,0,0,01103005304,1
2020,1,10041,1,1,4,2,2,1,2,3,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01097003409,1
2020,1,10042,3,1,4,1,2,4,2,4,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01111000300,1
2020,1,10043,1,1,4,1,2,1,2,4,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,0,0,0,01041963800,1
2020,1,10044,1,1,4,1,2,1,2,5,2,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,2,1,1,2,1,2,2,0,0,0,01051030103,1
2020,1,10045,1,1,4,2,2,1,2,3,2,3,1,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01089010626,1
2020,1,10046,1,1,4,1,2,1,1,3,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01117030103,1
2020,1,10047,1,1,4,2,2,1,1,4,1,4,1,1,2,1,1,2,1,2,2,2,2,1,1,3,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,01003011409,1
2020,1,10048,1,1,4,2,2,1,1,3,1,3,1,1,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,01089001301,1
2020,1,10049,2,1,4,2,2,1,2,4,2,3,1,1,3,13,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01053970400,1
