st_case,fatals_crash,persons_total,HARM_EV,manner_collision,hour,ems_arrival_hour
121695,1,3,8,0,1,
121696,1,2,8,0,22,
121697,1,2,12,2,12,
121698,1,3,12,6,6,
121699,2,3,12,6,14,
121700,1,2,8,0,22,
121702,1,3,12,6,22,
121703,1,3,12,6,17,
121704,1,2,12,2,13,13
121705,1,2,12,8,10,
121706,1,1,9,0,4,
121707,2,3,12,2,2,
121708,1,2,12,2,20,
121709,1,2,12,2,1,
121710,1,2,8,0,13,
121711,1,1,12,1,20,
121712,1,6,12,1,5,
121713,1,2,12,1,21,
121714,1,2,1,0,18,
121715,1,1,5,0,12,
121716,1,1,42,0,23,
121717,1,4,12,1,5,
121718,1,4,12,1,2,
121719,1,5,12,2,21,
121720,1,3,5,0,3,
121721,1,1,8,0,5,
121722,1,1,8,0,11,
121723,1,2,18,0,22,
121724,1,3,30,0,22,
121725,2,4,12,2,15,
121726,1,3,12,2,19,
121727,1,1,8,0,16,
121728,1,1,8,0,20,
121731,1,3,12,6,12,
121732,1,2,33,0,18,
121733,1,4,12,1,21,21
121734,2,3,42,0,20,
121735,2,2,12,2,21,
121737,1,2,12,1,20,
121738,1,8,12,6,19,
121739,1,5,12,1,22,
121740,1,3,12,99,17,
121741,1,7,12,1,10,
121742,1,4,12,6,11,
121743,1,2,14,0,11,
121744,1,1,8,0,5,
121745,1,1,33,0,19,
121746,1,1,33,0,10,
121747,1,4,12,1,14,
121748,1,1,8,0,22,
121749,1,2,12,6,16,
121750,1,2,12,6,16,
121751,1,1,42,0,10,
121752,1,1,8,0,21,
121753,1,4,12,6,22,
121754,1,1,33,0,1,
121755,1,1,8,0,17,
121756,1,1,42,0,16,
121757,1,5,12,2,21,
121758,1,3,12,2,0,
121759,1,3,12,6,0,
121760,1,1,8,0,23,
121761,1,2,1,0,16,
121762,1,6,12,6,9,
121763,1,1,34,0,1,
121764,1,1,24,0,12,
121765,1,3,32,0,11,
121766,1,2,12,2,16,17
121767,2,7,12,7,10,
121768,2,2,12,2,12,
121770,1,1,1,0,21,
121771,1,2,1,0,16,
121772,2,4,12,2,13,
121773,1,4,12,1,2,
121775,1,2,12,1,13,
121777,1,2,24,0,20,
121778,1,2,8,0,1,
121779,1,2,12,6,15,
121780,1,6,12,1,16,
121781,1,2,12,6,15,
121782,1,1,9,0,22,
121783,1,1,9,0,21,
121784,1,2,12,1,1,
121785,1,3,12,6,9,
121786,2,3,12,6,19,
121787,1,2,5,0,18,
121788,1,2,12,1,6,
121789,1,2,38,0,4,
121790,1,1,8,0,20,
121791,1,1,8,0,18,
121792,1,1,12,2,0,
121794,1,2,12,6,19,
121795,1,5,14,0,19,
121796,1,4,12,6,15,
121797,1,2,1,0,6,
121798,1,4,42,0,2,
121799,1,1,15,0,4,
121800,1,1,59,0,5,
121801,1,1,1,0,21,
121802,1,1,24,0,6,
121803,1,1,53,0,4,
121804,1,1,1,0,10,
121805,1,2,33,0,9,
121806,1,3,1,0,0,
121807,1,1,42,0,1,
121808,1,1,57,0,14,
121809,1,1,46,0,0,
121810,1,2,12,6,11,
121811,1,1,42,0,15,
121812,1,1,8,0,4,
121813,1,1,31,0,19,
121814,1,1,1,0,20,
121815,1,2,12,6,7,
121816,1,2,33,0,5,
121817,1,7,12,1,23,
121818,1,5,1,0,17,
121819,1,2,12,2,17,
121820,1,4,12,6,17,
121821,1,2,12,7,12,
121822,1,1,42,0,14,
121823,1,2,12,6,16,16
121825,1,2,12,6,15,
121826,1,3,12,6,10,
121827,1,1,18,0,23,23
121828,1,3,42,0,13,13
121829,1,2,12,2,0,
121830,1,2,12,1,2,
121831,1,4,12,1,11,
121832,1,2,14,0,10,
121833,1,2,1,0,19,
121834,1,1,42,0,16,
121835,1,3,8,0,21,
121836,1,1,8,0,20,
121837,1,1,59,0,11,
121838,1,1,8,0,20,
121839,1,4,12,6,7,
121840,3,4,12,6,0,
121841,1,2,12,6,22,23
121842,1,1,8,0,23,23
121843,1,4,12,1,17,
121844,1,2,12,1,10,10
121846,1,3,1,0,11,
121847,1,1,8,0,21,
121848,2,3,24,0,0,
121849,1,1,8,0,2,
121850,1,2,12,1,2,
121851,1,3,12,6,16,
121852,1,2,9,0,9,
121853,1,2,12,1,19,
121854,1,1,1,0,3,
121855,1,2,12,2,18,
121856,1,2,12,6,19,
121857,1,1,8,0,22,
121859,1,3,12,6,16,
121860,1,1,8,0,4,
121861,1,1,33,0,4,
121862,1,1,42,0,3,
121863,1,1,8,0,21,
121864,1,2,12,6,21,
121865,1,1,33,0,20,
121866,1,1,33,0,18,
121867,1,2,15,0,13,
121868,1,2,12,6,12,
121870,2,2,12,2,9,
121871,1,1,42,0,23,
121872,1,1,8,0,8,
121873,1,1,53,0,1,
121874,1,3,12,6,0,
121875,1,1,1,0,16,
121876,1,2,12,6,19,
121877,1,1,24,0,13,14
121878,1,1,10,0,10,
121879,1,2,30,0,4,
121880,1,2,1,0,8,9
121881,1,1,1,0,17,
121882,1,1,24,0,15,
121883,1,1,8,0,22,
121884,1,2,12,6,15,
121885,1,1,8,0,6,
121886,1,3,12,6,21,
121887,1,1,9,0,23,
121888,1,3,42,0,22,
121889,2,2,33,0,7,
121890,1,3,12,6,11,
121891,1,2,12,6,17,
121892,1,3,12,7,15,
121893,1,2,12,6,8,
121894,1,1,8,0,23,
121896,1,5,30,0,18,
121897,1,1,9,0,3,
121898,1,1,32,0,11,
121899,1,3,9,0,13,
121900,1,1,8,0,20,
121901,1,3,12,6,15,
121902,1,2,12,6,23,
121903,1,3,12,6,4,
121904,1,5,12,2,20,
121905,1,1,43,0,19,
121906,1,4,12,1,19,
121908,1,1,42,0,16,
121909,1,3,12,6,10,
121910,1,1,53,0,4,
121911,1,3,12,6,21,
121912,1,1,43,0,9,
121913,1,1,8,0,18,
121914,1,1,8,0,22,
121915,1,2,12,6,9,
121916,1,4,12,6,15,16
121917,1,3,12,2,14,
121918,1,2,12,6,4,
121919,1,3,1,0,16,
121920,1,1,1,0,16,
121921,1,1,34,0,15,
121922,1,3,12,6,19,
121923,1,2,12,6,10,
121924,1,2,8,0,21,
121925,1,2,12,6,23,
121926,1,4,12,1,16,
121927,1,1,8,0,8,
121928,1,1,30,0,14,
121929,1,1,24,0,11,
121930,1,2,12,6,11,
121931,1,2,24,0,17,
121932,1,2,12,1,22,
121933,1,3,12,6,18,
121934,1,3,12,2,3,
121935,1,3,1,0,13,
121936,1,1,1,0,8,
121937,1,3,42,0,22,
121938,1,3,42,0,23,
121939,1,1,24,0,19,
121940,1,1,8,0,18,
121941,1,2,12,2,13,
121942,1,2,12,6,5,
121943,1,3,12,6,9,
121944,1,3,12,6,5,
121945,1,2,8,0,22,
121946,1,2,12,2,17,
121947,1,2,12,6,6,
121948,1,1,8,0,3,
121949,1,2,12,6,6,
121950,1,2,43,0,0,
121951,1,2,35,0,20,
121952,1,1,9,0,5,
121953,1,1,38,0,2,
121954,1,3,1,0,10,
121955,1,2,8,0,23,
121956,1,1,1,0,15,
121957,1,2,12,6,9,
121958,1,3,12,1,10,
121959,1,2,12,7,22,
121960,1,1,8,0,20,
121961,1,2,12,1,1,
121962,1,3,12,7,20,
121963,1,2,12,6,8,
121964,1,1,8,0,11,
121965,1,1,26,0,14,
121966,1,2,1,0,18,
121967,3,4,12,6,4,
121969,1,1,8,0,20,
121970,1,2,12,6,21,
121971,1,3,12,1,10,
121974,1,1,52,0,1,
121975,1,1,42,0,15,15
121976,1,1,9,0,7,
121977,1,2,12,1,1,
121978,1,2,12,2,20,
121979,1,3,12,1,22,
121980,1,1,38,0,22,
121981,1,2,12,6,7,
121983,1,1,8,0,5,
121984,3,5,59,0,14,
121986,1,3,12,6,16,
121988,1,1,30,0,18,
121989,1,1,8,0,21,
121990,2,2,33,0,21,
121991,1,2,12,6,7,
121992,1,2,12,1,2,
121993,1,2,1,0,9,
121994,1,2,12,2,21,
121995,1,4,8,0,22,
121996,2,2,8,0,22,
121997,1,2,12,1,7,
121998,1,2,12,6,4,
121999,1,1,59,0,12,
122000,1,1,9,0,7,
122001,1,8,12,6,15,
122002,1,2,8,0,20,
122004,1,1,42,0,13,
122005,1,4,8,0,0,
122006,1,1,42,0,22,
122007,1,7,12,8,23,
122008,1,1,1,0,14,
122009,1,1,35,0,13,
122010,1,1,1,0,8,
122011,1,2,12,2,0,
122012,1,4,12,6,6,
122013,1,3,24,0,22,
122015,1,7,1,0,16,
122016,1,2,12,2,20,
122017,2,5,12,1,6,
122018,1,2,12,1,16,
122019,1,2,12,6,9,
122020,1,1,33,0,13,
122021,1,1,33,0,6,
122022,1,3,12,1,12,
122023,1,2,12,6,22,22
122024,1,4,12,6,12,
122025,1,2,8,0,22,
122026,1,2,1,0,23,
122027,1,1,53,0,19,
122028,1,3,8,0,6,
122029,1,1,8,0,6,
122030,1,1,9,0,23,
122031,4,5,12,6,15,
122032,1,1,8,0,20,
122033,1,6,12,2,2,
122036,1,5,12,6,7,
122037,1,2,8,0,23,
122039,1,5,12,6,17,
122040,1,2,24,0,15,
122041,4,5,12,2,6,
122042,1,1,8,0,6,
122043,1,1,9,0,12,12
122044,1,1,30,0,3,
122045,1,2,12,6,8,
122046,1,2,12,6,15,
122047,1,2,12,2,14,
122048,1,1,1,0,19,
122049,1,1,33,0,2,
122050,1,1,9,0,17,
122052,1,1,9,0,16,
122053,1,1,33,0,19,
122054,1,4,1,0,18,
122055,1,2,12,6,5,
122056,1,1,42,0,13,
122057,1,3,12,1,18,
122058,1,1,1,0,23,
122059,1,1,1,0,3,
122060,1,3,12,6,23,
122061,1,2,8,0,19,
122062,1,2,12,6,0,
122063,1,1,8,0,7,
122064,1,1,33,0,18,18
122065,1,1,8,0,23,
122066,1,2,12,1,10,
122067,1,2,12,6,12,
122068,1,1,46,0,3,
122069,1,3,12,2,19,
122070,1,2,19,0,2,
122071,1,2,43,0,18,
122073,2,4,42,0,21,
122074,1,1,8,0,20,
122075,1,1,8,0,22,
122076,1,2,1,0,18,18
122077,1,1,8,0,6,
122079,2,3,25,0,17,
122080,1,3,12,6,19,
122081,1,3,9,0,2,
122082,1,4,1,0,19,
122083,1,3,8,0,21,
122084,1,1,8,0,21,
122085,2,11,33,0,12,
122087,1,3,8,0,18,
122088,1,3,12,6,13,
122089,1,1,8,0,21,
122090,1,1,8,0,21,
122091,1,3,12,6,22,
122092,1,1,33,0,22,
122093,1,1,35,0,23,
122094,1,1,34,0,19,
122095,1,1,38,0,17,
122096,1,1,8,0,1,
122097,1,1,42,0,15,
122098,1,3,12,6,14,
122099,1,1,14,0,4,
122100,1,1,42,0,9,
122102,1,6,12,2,18,
122103,2,4,12,2,1,
122104,3,3,30,0,5,
122105,1,1,8,0,17,
122106,1,3,33,0,6,
122107,1,1,42,0,7,7
122108,1,1,8,0,2,2
122109,2,4,12,6,22,
122110,1,3,12,6,14,14
122111,1,1,8,0,17,17
122112,1,3,12,1,23,
122113,1,1,8,0,4,
122114,2,4,12,6,1,
122115,1,2,12,1,1,
122116,1,1,8,0,21,
122117,1,6,12,6,2,
122118,1,3,12,6,11,
122119,1,1,43,0,22,
122120,2,3,12,6,16,
122121,1,1,24,0,0,
122122,1,1,34,0,7,
122123,1,3,8,0,22,
122124,1,1,8,0,21,
122125,1,3,12,6,20,
122126,1,1,8,0,21,
122127,3,5,12,2,14,
122128,2,4,12,2,13,
122129,1,3,12,1,18,
122131,1,2,12,1,2,
122132,1,2,12,1,21,
122133,1,3,12,7,7,
122134,1,2,1,0,19,
122136,1,1,8,0,22,
122137,1,1,9,0,9,
122138,1,1,38,0,17,
122139,1,3,12,6,19,
122140,1,1,33,0,5,
122141,1,2,12,6,5,
122142,1,2,12,6,5,
122143,1,4,12,2,16,
122144,1,1,8,0,10,
122145,1,1,8,0,20,
122146,1,4,12,2,20,
122147,1,1,8,0,21,
122148,1,1,8,0,8,
122149,1,1,1,0,7,
122152,1,3,12,1,13,
122153,2,5,20,0,17,
122155,1,2,12,6,18,
122156,2,2,42,0,3,
122157,1,2,12,1,21,
122158,1,2,12,2,13,14
122159,2,4,12,2,14,
122160,1,3,12,6,23,
122161,1,1,33,0,0,
122162,1,2,12,6,16,
122163,1,1,14,0,0,
122164,1,7,12,1,6,
122165,1,3,12,1,14,
122166,1,5,8,0,6,
122167,1,2,12,1,20,
122168,2,7,12,1,0,
122169,2,2,42,0,1,
122170,1,1,18,0,23,
122171,1,5,12,2,13,
122172,1,3,12,6,7,
122173,1,1,24,0,22,
122174,1,1,8,0,21,
122175,1,3,12,6,7,
122178,1,1,8,0,22,
122179,2,5,12,2,20,
122181,1,4,12,6,3,
122182,1,2,12,2,19,
122183,1,1,30,0,1,
122184,1,1,8,0,23,
122185,1,2,12,6,10,
122186,1,2,41,0,2,
122187,2,3,12,2,2,
122188,1,2,12,6,14,
122189,1,3,12,7,13,
122190,1,1,33,0,13,
122191,1,5,12,6,15,
122192,1,3,12,2,0,
122193,1,1,9,0,12,
122194,1,1,18,0,2,
122195,1,2,8,0,3,
122196,1,1,8,0,6,
122197,1,3,12,6,14,
122198,1,1,42,0,17,
122199,1,1,8,0,0,
122200,1,2,24,0,15,
122201,1,1,8,0,21,
122202,1,2,12,2,20,
122203,1,1,9,0,7,
122204,1,1,8,0,17,
122205,1,1,33,0,18,
122206,1,1,8,0,1,
122207,1,1,8,0,5,
122208,1,1,8,0,4,
122209,1,1,33,0,9,
122211,1,2,12,2,0,
122212,1,3,12,1,14,15
122213,1,8,12,7,20,
122214,1,4,12,6,18,
122215,1,1,18,0,2,
122216,1,1,1,0,23,
122217,1,1,34,0,23,
122218,1,1,9,0,2,
122219,1,2,12,6,0,
122220,1,3,33,0,0,
122221,1,1,8,0,9,
122222,1,4,12,6,17,
122223,1,1,8,0,7,
122224,1,2,3,0,2,
122225,3,3,12,6,2,
122226,1,1,24,0,1,
122227,1,1,25,0,2,
122228,1,1,34,0,5,
122229,1,1,38,0,6,
122230,1,2,12,2,9,
122231,1,1,8,0,20,
122232,1,1,8,0,4,
122233,1,2,12,6,5,
122234,1,1,8,0,5,
122235,1,3,12,6,14,
122236,1,3,12,6,9,
122238,1,4,12,6,11,
122239,1,1,42,0,21,
122240,1,6,12,7,14,
122241,1,4,24,0,15,
122242,1,1,42,0,11,11
122243,2,7,12,1,19,
122244,1,1,8,0,6,
122245,2,2,12,2,8,
122246,1,1,8,0,0,
122249,1,1,25,0,15,
122250,1,2,12,6,19,
122251,1,4,33,0,19,
122252,1,1,33,0,4,
122253,1,3,12,6,9,
122254,1,1,24,0,12,
122255,1,5,1,0,15,
122256,1,3,24,0,1,
122257,1,4,12,6,15,
122258,1,1,42,0,3,
122259,1,1,8,0,23,
122260,1,3,12,8,16,
122261,1,1,30,0,8,
122262,1,1,1,0,18,
122263,1,2,3,0,1,
122264,1,1,8,0,6,
122265,1,1,33,0,5,
122266,1,4,8,0,19,
122267,1,2,1,0,14,
122268,1,1,8,0,6,
122269,1,1,1,0,14,
122270,1,4,8,0,23,
122271,1,1,1,0,11,
122272,1,3,12,6,15,
122273,1,1,15,0,16,
122275,1,2,12,6,13,
122276,1,2,12,7,9,
122277,1,1,8,0,6,
122278,1,2,59,0,22,
122279,1,1,9,0,10,
122280,1,2,12,6,18,
122281,1,1,8,0,23,
122282,1,4,12,6,9,
122283,1,3,12,6,6,
122284,1,2,12,1,23,
122285,1,4,12,6,18,
122286,1,1,8,0,4,
122287,1,3,12,2,3,
122288,1,1,38,0,23,
122289,1,1,33,0,23,
122290,1,1,32,0,20,
122291,1,1,8,0,19,
122292,1,1,8,0,22,
122293,1,2,12,7,5,
122295,1,1,8,0,0,
122296,1,5,8,0,19,
122297,1,6,12,6,15,
122298,1,3,12,6,15,15
122299,1,8,12,1,23,
122300,1,1,8,0,6,
122301,1,1,12,1,2,
122302,1,3,12,2,13,13
122303,1,2,12,6,13,
122304,1,3,12,6,10,
122306,1,1,34,0,19,
122307,1,1,42,0,22,
122308,1,3,9,0,16,
122309,1,5,8,0,22,
122310,1,4,12,6,22,
122311,1,1,8,0,5,
122312,1,1,8,0,22,
122313,1,1,8,0,3,
122314,1,2,12,6,19,
122315,1,2,12,6,18,
122316,1,2,8,0,20,
122317,1,1,8,0,21,
122318,1,3,12,1,22,
122319,1,2,8,0,19,
122320,1,1,31,0,13,
122322,1,2,12,1,11,
122323,1,3,12,6,21,
122324,1,1,8,0,6,
122325,1,2,30,0,12,
122326,2,3,12,6,10,
122327,1,1,8,0,0,
122328,1,1,9,0,6,
122329,1,4,12,6,18,
122330,1,1,8,0,19,
122331,1,2,12,2,8,
122333,1,1,8,0,19,
122334,1,2,8,0,3,
122335,1,4,12,6,20,
122336,1,2,12,2,19,
122337,2,4,12,2,6,6
122338,1,2,42,0,16,
122339,2,3,12,8,20,
122340,2,3,12,2,20,
122341,1,1,9,0,5,
122342,1,2,8,0,19,
122343,1,1,33,0,21,
122344,1,1,35,0,1,
122345,1,2,12,2,1,
122346,1,1,42,0,2,
122347,1,1,33,0,6,
122349,1,2,42,0,16,
122350,1,2,12,2,11,
122351,1,1,8,0,20,20
122352,1,2,12,6,10,
122353,1,6,12,1,13,
122354,1,3,12,6,9,
122355,1,1,8,0,17,
122357,1,2,12,1,23,
122358,1,2,12,2,6,
122359,2,2,42,0,20,
122360,1,3,8,0,21,
122361,1,3,12,2,23,
122362,1,6,12,1,20,
122363,1,3,12,6,7,
122364,1,3,1,0,22,
122365,1,1,8,0,0,
122366,1,1,24,0,16,
122367,1,3,12,2,17,
122368,1,1,8,0,9,
122369,1,5,39,0,23,
122370,1,2,12,6,6,
122371,1,1,9,0,11,
122372,1,3,12,6,16,
122373,1,2,42,0,18,
122374,1,3,32,0,16,
122375,1,3,12,7,11,
122376,1,2,9,0,21,
122377,1,10,12,6,13,
122378,2,5,12,2,0,
122379,1,3,8,0,22,
122380,1,1,53,0,2,
122381,1,4,12,6,23,
122382,1,5,8,0,19,
122383,1,5,12,2,23,
122384,1,1,33,0,22,
122385,1,4,1,0,15,
122386,1,3,34,0,20,
122387,1,2,12,6,9,
122388,1,2,12,2,23,23
122389,1,2,12,6,20,
122390,1,1,15,0,14,
122391,1,1,26,0,22,
122392,1,3,12,6,15,
122393,1,2,8,0,20,
122394,1,2,12,6,18,
122395,1,1,1,0,0,0
122396,1,2,12,2,13,13
122397,1,2,12,2,5,
122399,1,1,8,0,22,
122400,1,2,12,6,20,
122401,1,1,8,0,18,
122402,1,1,42,0,21,
122403,1,1,8,0,19,
122404,1,2,12,6,18,
122405,1,3,30,0,10,
122406,1,2,12,6,16,
122407,1,1,30,0,17,
122408,1,1,9,0,5,
122409,1,2,8,0,5,
122410,1,1,42,0,20,
122411,1,1,42,0,18,
122412,1,1,1,0,17,
122413,1,1,43,0,20,
122414,3,4,12,6,11,
122415,1,3,12,1,16,
122416,1,4,12,6,18,
122417,1,5,33,0,22,
122418,1,2,12,6,10,
122419,1,4,12,6,14,
122420,1,1,8,0,10,
122421,1,4,42,0,23,
122422,1,2,12,6,11,
122423,1,2,8,0,5,
122424,2,3,12,1,6,
122425,1,3,8,0,5,
122426,1,2,12,6,9,
122427,2,2,38,0,0,
122428,1,1,24,0,18,
122429,1,2,59,0,2,
122430,1,5,8,0,19,
122431,1,1,8,0,17,
122432,1,2,12,1,4,
122433,1,1,8,0,20,
122434,1,4,12,2,4,
122435,1,2,42,0,1,
122437,1,1,8,0,19,
122439,1,2,12,1,15,
122440,1,1,9,0,12,
122441,1,4,12,2,19,
122442,1,1,14,0,1,
122443,1,3,12,2,15,
122444,1,1,15,0,0,0
122445,1,1,1,0,7,
122447,1,5,12,6,19,
122448,2,1,8,0,2,
122449,1,2,12,2,19,
122450,1,2,12,6,16,
122451,1,1,8,0,20,
122452,1,2,38,0,2,
122453,1,1,24,0,0,
122454,1,3,12,1,6,
122455,1,2,12,6,8,
122456,1,1,42,0,19,
122457,1,2,12,6,14,
122459,1,2,12,6,16,
122460,1,2,18,0,6,
122461,1,1,9,0,17,
122462,1,2,12,2,15,
122463,1,1,42,0,10,10
122464,1,5,12,2,21,
122465,1,2,59,0,12,
122466,1,2,14,0,9,
122467,1,3,12,6,15,
122468,1,4,8,0,19,
122469,1,1,8,0,20,
122470,1,7,12,6,11,
122471,1,1,8,0,21,
122472,1,1,30,0,23,
122473,1,1,8,0,20,
122474,1,6,12,1,14,
122475,1,1,8,0,19,
122476,1,2,1,0,21,
122477,1,3,33,0,14,
122479,1,1,25,0,23,
122480,1,3,12,6,22,
122481,1,1,33,0,0,
122482,1,1,1,0,17,
122483,1,3,12,1,20,
122484,2,5,12,2,23,
122485,1,2,1,0,2,
122486,1,3,12,1,18,
122487,1,2,9,0,22,
122488,1,4,12,1,20,20
122489,1,2,12,2,8,
122490,2,4,12,6,7,8
122491,1,1,8,0,15,
122492,1,3,12,2,14,
122493,1,1,8,0,10,
122494,1,1,8,0,19,
122495,1,2,11,0,19,
122496,1,3,12,6,0,
122497,1,5,12,6,12,
122498,1,3,12,2,14,
122499,1,2,12,6,20,
122500,1,4,12,6,17,
122501,1,3,8,0,5,
122502,1,1,8,0,22,
122503,2,6,12,6,19,
122504,1,1,9,0,7,
122506,1,2,42,0,13,
122507,1,1,42,0,20,
122508,1,1,8,0,21,
122509,1,4,12,6,20,
122510,1,3,12,6,2,
122511,1,2,12,6,20,
122512,1,2,12,1,10,
122513,4,7,12,2,22,
122514,1,2,12,6,14,
122515,1,2,12,6,10,
122516,1,1,8,0,2,
122517,1,1,8,0,20,
122518,1,5,12,2,21,
122519,1,1,8,0,21,
122520,1,1,8,0,19,
122521,1,2,12,2,16,
122522,1,1,34,0,21,
122523,1,2,12,6,1,
122524,2,3,53,0,19,
122525,1,3,12,2,0,
122526,1,2,12,1,23,
122527,1,1,1,0,1,
122528,1,3,12,1,20,
122529,1,2,12,2,5,
122530,1,2,9,0,15,
122531,1,2,12,6,5,
122532,1,2,8,0,17,
122533,1,1,8,0,3,
122534,1,1,8,0,20,
122535,1,1,38,0,22,22
122536,1,4,12,1,18,
122537,1,5,5,0,17,
122538,1,7,14,0,16,
122539,1,3,12,1,16,
122540,1,1,14,0,17,
122541,1,2,12,6,13,
122542,2,3,33,0,3,
122543,1,2,12,1,10,
122544,2,3,12,2,5,
122545,1,1,33,0,0,
122546,1,3,12,6,6,
122547,1,2,12,6,5,
122548,1,1,42,0,15,
122549,1,1,8,0,20,
122550,1,7,12,7,12,
122551,1,2,12,6,8,
122552,1,1,10,0,22,
122553,1,3,8,0,8,
122554,1,1,33,0,0,
122555,1,1,1,0,11,
122556,1,4,12,1,21,
122557,1,1,38,0,23,
122558,1,2,8,0,20,
122559,1,2,12,2,21,
122560,1,1,8,0,21,
122561,1,1,8,0,5,
122562,1,6,12,8,6,
122563,1,2,33,0,21,
122564,2,3,42,0,1,
122566,1,4,12,6,17,
122567,1,2,8,0,19,
122568,1,2,59,0,22,
122569,1,1,33,0,1,
122570,1,1,8,0,23,
122572,1,3,8,0,19,
122573,1,3,12,6,4,
122574,1,1,52,0,16,
122575,1,5,12,1,10,
122576,1,3,12,1,12,
122577,1,1,8,0,19,
122578,1,2,8,0,1,
122579,3,5,12,6,18,
122580,1,1,42,0,5,
122581,1,1,59,0,21,
122582,1,1,8,0,22,
122583,1,1,30,0,18,
122584,1,1,32,0,12,
122585,1,6,12,1,18,
122586,1,1,8,0,7,
122587,1,1,8,0,19,
122588,1,2,12,2,20,
122589,1,3,12,7,7,
122590,1,7,12,1,9,
122591,1,2,12,6,9,
122592,1,2,8,0,3,
122593,1,2,12,6,15,
122594,1,1,34,0,8,
122595,1,1,1,0,5,
122597,1,2,1,0,2,
122598,1,3,12,2,2,
122599,1,3,12,2,9,
122600,1,3,12,2,0,
122601,1,1,8,0,20,20
122602,1,3,24,0,18,
122603,1,2,42,0,17,
122604,1,1,9,0,8,
122605,1,1,42,0,11,
122606,1,4,12,6,14,
122607,1,1,24,0,5,
122608,1,2,12,6,9,
122609,1,1,33,0,4,
122610,1,1,19,0,16,
122611,1,1,8,0,20,
122612,1,1,8,0,23,
122613,1,3,12,6,17,
122614,1,3,12,8,20,
122615,1,1,8,0,9,
122616,1,2,8,0,22,
122617,1,1,15,0,13,
122618,1,2,8,0,22,
122619,1,1,33,0,3,
122620,1,1,30,0,0,
122621,1,1,8,0,2,
122622,1,1,8,0,19,
122623,1,1,53,0,8,8
122624,1,1,34,0,16,
122625,1,3,5,0,18,
122626,1,1,35,0,6,
122627,1,1,8,0,6,
122629,1,2,35,0,5,
122630,1,1,39,0,22,
122631,1,3,12,6,18,
122632,1,2,12,2,10,
122633,1,2,12,2,18,
122634,1,1,8,0,22,
122635,1,1,43,0,17,
122636,1,1,8,0,19,
122637,1,2,12,2,21,
122638,1,3,33,0,6,
122639,1,2,12,2,18,
122640,1,1,8,0,11,
122641,1,1,33,0,11,
122642,1,2,12,1,7,
122643,1,2,12,2,17,
122644,1,1,8,0,20,
122645,1,1,42,0,0,
122646,1,2,12,6,10,
122647,1,4,12,6,14,
122648,1,1,31,0,17,
122649,1,3,12,1,6,
122650,1,1,1,0,21,
122651,1,4,12,6,12,
122652,1,7,12,6,11,
122653,1,1,8,0,6,
122654,1,2,12,6,2,
122655,1,2,12,6,13,
122656,1,3,12,2,16,
122657,1,1,8,0,1,
122658,1,3,8,0,21,
122659,1,2,33,0,21,
122660,1,1,38,0,22,
122661,1,2,53,0,16,
122662,1,2,33,0,11,
122663,1,2,9,0,19,
122664,1,2,8,0,22,
122665,1,1,8,0,19,
122666,1,1,15,0,19,
122667,1,1,32,0,17,
122668,2,2,24,0,10,
122669,1,2,12,1,15,
122670,1,3,12,1,16,
122671,1,2,12,6,10,
122672,2,2,42,0,16,
122673,1,2,8,0,22,
122675,1,2,12,6,15,
122676,1,1,42,0,23,
122677,1,3,1,0,22,
122678,1,3,12,2,2,
122680,1,1,8,0,3,
122681,2,4,12,6,20,
122682,1,2,12,6,16,
122683,1,2,12,1,20,
122685,1,1,8,0,1,
122686,1,2,12,6,18,
122687,1,1,30,0,3,
122688,1,1,17,0,0,0
122689,1,1,8,0,2,
122690,1,1,33,0,21,21
122691,1,4,12,1,6,
122693,1,2,12,2,1,
122696,1,3,12,2,7,
122697,1,1,8,0,20,
122698,1,2,12,1,21,
122699,1,2,1,0,6,6
122700,1,1,15,0,15,
122701,1,1,8,0,23,
122702,1,1,8,0,17,
122703,1,1,1,0,13,13
122704,1,1,52,0,23,
122705,2,5,12,2,21,
122707,2,4,12,6,8,
122708,1,3,12,2,22,
122709,1,1,9,0,14,14
122710,1,2,12,1,17,
122711,1,1,9,0,14,14
122712,1,3,8,0,18,
122713,1,2,12,6,11,
122714,1,6,12,1,2,
122716,1,3,12,1,15,
122717,1,2,12,6,14,
122718,1,1,10,0,21,
122720,1,2,38,0,0,
122722,1,1,33,0,3,
122723,1,2,12,6,14,
122724,1,1,8,0,22,
122725,1,2,12,6,1,
122726,1,7,12,6,20,
122728,1,1,8,0,7,
122729,1,2,12,6,13,
122730,1,2,12,6,15,
122731,1,2,12,6,16,
122732,1,1,8,0,0,
122733,1,2,12,6,21,
122734,2,4,3,0,23,
122735,1,3,5,0,18,
122736,1,1,1,0,18,
122737,1,5,24,0,16,
122739,1,3,12,6,14,
122740,1,2,12,2,15,
122742,1,1,8,0,19,
122743,1,1,8,0,21,21
122744,1,3,8,0,18,
122745,1,3,12,9,15,15
122746,1,6,12,1,0,
122747,1,1,8,0,23,
122748,1,1,33,0,15,
122749,1,3,12,6,8,
122750,1,1,9,0,18,
122751,1,1,33,0,5,
122752,1,1,8,0,3,
122753,1,1,8,0,5,
122754,1,3,12,6,14,
122755,1,1,8,0,21,
122756,1,1,9,0,17,
122757,1,1,1,0,18,18
122758,1,3,12,6,15,
122759,1,1,42,0,6,6
122760,1,1,8,0,19,
