st_case,fatals_crash,persons_total,HARM_EV,manner_collision,hour,ems_arrival_hour
10215,1,1,1,0,21,21
10216,1,1,32,0,21,21
10217,2,2,32,0,20,21
10218,1,5,12,6,12,13
10219,1,2,18,0,15,16
10220,2,2,42,0,19,19
10221,1,2,24,0,6,6
10222,1,2,12,6,10,10
10223,1,1,30,0,19,19
10224,1,1,42,0,14,14
10225,1,1,42,0,7,7
10226,1,2,12,2,15,16
10227,1,6,34,0,14,14
10228,1,4,12,2,16,17
10229,2,2,1,0,17,17
10230,1,1,34,0,12,13
10231,1,2,35,0,20,20
10232,1,5,12,2,20,20
10233,1,3,12,6,22,22
10234,1,1,34,0,5,6
10235,1,1,32,0,13,14
10236,1,3,12,6,21,22
10237,1,1,42,0,17,17
10238,1,1,8,0,17,17
10239,1,2,8,0,18,19
10240,1,7,12,6,12,12
10242,1,1,8,0,5,5
10243,1,2,8,0,1,1
10244,1,1,39,0,2,2
10245,1,4,12,1,21,21
10246,1,2,30,0,4,4
10247,1,1,34,0,0,
10248,1,3,8,0,19,20
10249,1,4,12,1,6,6
10250,1,1,38,0,15,16
10251,1,2,42,0,12,12
10252,1,2,12,2,1,1
10253,2,2,1,0,13,13
10254,1,2,42,0,1,1
10255,1,2,12,6,8,8
10256,1,4,12,6,10,11
10257,1,4,12,6,7,7
10258,1,1,42,0,20,
10259,1,1,42,0,1,1
10260,1,3,12,1,8,9
10261,1,1,8,0,21,21
10262,1,1,42,0,12,13
10263,1,2,12,6,20,20
10264,1,3,12,6,17,17
10265,1,1,5,0,17,18
10266,1,1,42,0,15,16
10267,1,13,53,0,17,18
10268,1,4,12,6,12,12
10269,1,1,8,0,0,0
10270,1,1,8,0,20,20
10271,1,2,32,0,6,6
10272,1,5,12,6,11,12
10273,3,4,12,2,23,11
10274,1,1,34,0,14,19
10275,1,1,1,0,16,16
10276,3,4,12,6,19,19
10277,1,3,12,6,13,13
10278,1,2,12,6,6,
10279,1,4,12,6,17,
10280,1,1,1,0,15,15
10281,1,1,30,0,22,
10282,1,3,12,2,21,21
10283,1,2,42,0,21,21
10284,1,1,43,0,3,3
10285,1,4,42,0,14,14
10286,1,1,42,0,19,19
10287,1,1,1,0,9,9
10288,1,2,12,6,13,14
10289,1,2,1,0,14,14
10290,1,1,59,0,17,17
10291,1,1,42,0,7,7
10292,1,3,12,1,10,10
10293,1,2,12,2,18,18
10294,2,4,12,6,20,20
10295,1,1,32,0,21,22
10296,1,3,12,6,10,10
10297,1,1,23,0,0,1
10298,2,2,12,2,10,10
10299,1,2,42,0,5,6
10300,1,7,12,6,18,18
10301,1,3,12,6,16,16
10302,1,1,42,0,20,20
10303,1,2,12,2,21,21
10304,1,2,42,0,23,1
10305,1,3,12,98,18,18
10306,1,3,12,6,11,12
10307,1,1,34,0,18,19
10308,1,1,8,0,23,23
10309,1,1,8,0,23,23
10310,1,1,8,0,23,
10311,1,4,12,2,17,17
10312,1,3,12,6,21,21
10313,1,3,12,6,18,18
10314,1,5,12,6,7,7
10315,1,3,12,2,11,11
10316,1,5,12,2,12,12
10317,2,4,12,9,14,14
10318,1,1,18,0,13,14
10319,1,2,12,6,17,18
10320,1,1,8,0,4,4
10321,1,1,34,0,19,19
10322,1,4,54,11,17,17
10323,2,3,12,2,4,5
10324,1,3,30,0,11,11
10325,1,2,12,2,15,15
10326,1,2,1,0,21,22
10327,1,4,12,6,15,16
10328,1,1,42,0,0,0
10329,1,1,42,0,2,2
10330,1,2,35,0,13,13
10331,1,2,35,0,1,2
10332,1,2,12,1,14,14
10333,1,1,34,0,19,19
10334,1,1,8,0,20,20
10335,1,1,42,0,6,6
10336,1,3,12,7,9,9
10337,1,1,42,0,6,6
10338,1,1,32,0,6,7
10339,1,2,33,0,13,13
10340,1,1,1,0,0,0
10341,2,2,32,0,2,2
10342,1,1,42,0,6,
10343,1,5,12,6,19,19
10344,1,1,34,0,18,19
10345,1,6,12,2,11,11
10346,1,1,35,0,2,3
10347,1,2,8,0,0,0
10348,1,1,8,0,23,23
10349,1,5,35,0,18,18
10350,1,3,12,1,22,22
10351,1,3,12,1,22,22
10352,1,3,14,0,15,15
10353,1,1,9,0,22,22
10354,1,1,25,0,3,3
10355,1,8,12,1,17,17
10357,1,3,12,6,23,23
10358,1,3,12,7,16,16
10359,1,7,23,0,6,7
10360,2,2,42,0,4,5
10361,1,1,8,0,3,3
10362,1,2,12,1,0,1
10363,1,3,12,6,12,13
10364,1,1,8,0,21,21
10365,4,5,12,2,21,22
10366,1,5,12,1,20,21
10367,1,5,12,6,21,21
10368,1,2,35,0,15,15
10369,1,3,12,6,12,12
10370,1,2,12,2,8,8
10371,1,1,42,0,10,
10372,1,1,42,0,7,7
10373,1,3,12,7,11,12
10374,1,1,42,0,16,16
10375,1,1,34,0,9,9
10376,1,1,9,0,0,0
10377,1,3,12,6,21,21
10378,2,2,42,0,11,12
10379,1,2,42,0,12,12
10380,1,2,12,1,16,16
10381,1,1,34,0,20,21
10382,1,1,59,0,0,3
10383,1,7,12,7,12,12
10384,1,2,12,2,23,0
10385,2,4,12,6,14,14
10386,2,9,12,1,16,16
10387,1,2,12,2,17,17
10388,1,4,12,2,5,6
10389,1,1,42,0,21,21
10390,1,2,12,8,19,19
10391,1,1,8,0,22,22
10392,1,1,8,0,4,4
10393,1,1,11,0,14,15
10394,1,1,42,0,14,15
10395,1,1,34,0,11,11
10396,1,1,35,0,23,23
10397,1,2,35,0,14,15
10398,1,3,12,6,17,18
10399,1,2,12,2,3,5
10400,1,2,34,0,15,16
10401,1,1,8,0,19,20
10402,1,3,12,6,10,10
10403,1,2,12,6,20,20
10404,1,1,42,0,10,10
10405,1,1,42,0,17,
10406,1,1,32,0,23,23
10407,1,2,12,2,13,13
10408,1,1,10,0,19,19
10409,1,1,33,0,1,1
10410,1,1,32,0,19,20
10411,1,1,42,0,19,19
10412,1,1,10,0,11,11
10413,1,1,8,0,6,6
10414,1,3,12,1,13,
10415,2,7,1,0,18,19
10416,1,2,12,2,7,7
10417,1,4,12,8,8,9
10418,1,2,59,0,3,4
10419,1,4,12,2,20,20
10420,1,2,42,0,21,21
10421,1,2,42,0,18,18
10422,1,1,42,0,1,16
10423,1,2,12,6,12,12
10424,1,3,12,6,0,1
10425,1,1,34,0,11,11
10426,1,3,12,1,1,1
10427,1,1,42,0,0,0
10428,1,2,9,0,6,
10429,1,4,12,6,12,13
10430,1,1,1,0,11,11
10431,1,1,18,0,0,2
10432,1,2,12,2,14,14
10434,1,2,42,0,20,20
10435,1,1,32,0,22,22
10436,1,6,12,1,15,16
10437,1,3,52,0,15,16
10438,1,1,42,0,10,11
10439,1,3,12,1,20,21
10440,1,1,8,0,19,19
10441,1,1,8,0,21,21
10442,1,2,12,6,20,20
10443,1,1,8,0,5,5
10444,1,2,12,6,13,13
10445,1,1,8,0,11,11
10446,1,4,8,0,0,0
10447,1,2,12,2,7,7
10448,1,3,35,0,18,19
10449,1,1,8,0,23,
10450,1,4,12,6,11,11
10451,1,4,12,1,9,9
10452,1,1,42,0,20,20
10453,3,3,42,0,20,20
10454,1,3,12,1,21,21
10455,1,1,53,0,3,
10456,1,1,34,0,16,16
10457,1,2,12,1,5,5
10458,1,2,57,0,3,3
10459,1,3,12,2,6,6
10460,1,1,42,0,20,20
10461,1,3,12,1,18,18
10462,1,1,8,0,20,21
10463,1,2,24,0,4,4
10464,1,2,12,1,20,20
10465,1,1,8,0,18,18
10466,1,2,12,1,17,17
10467,1,4,12,1,3,3
10468,1,5,12,6,14,14
10469,1,1,8,0,9,9
10470,1,1,8,0,1,1
10471,1,2,12,1,18,18
10472,1,1,8,0,21,22
10473,1,1,42,0,1,2
10474,3,3,12,6,19,19
10475,1,1,32,0,18,
10476,1,2,12,2,16,17
10477,1,2,12,1,19,19
10478,1,3,38,0,0,0
10479,2,4,12,6,15,15
10480,1,3,1,0,22,22
10481,1,2,12,1,10,10
10482,2,7,12,6,12,12
10483,1,1,42,0,6,6
10484,1,1,8,0,5,5
10485,1,2,12,6,15,15
10486,1,3,12,6,14,14
10487,1,1,34,0,13,13
10488,1,2,12,6,9,9
10489,1,1,35,0,14,14
10490,1,1,8,0,21,
10491,1,1,35,0,17,17
10492,1,1,58,0,0,
10493,1,1,38,0,17,17
10494,1,2,12,2,22,22
10495,1,1,34,0,14,14
10496,1,3,12,1,23,0
10497,1,2,12,98,12,12
10498,1,2,12,6,15,15
10499,1,2,12,6,13,13
10500,1,3,12,6,17,17
10501,1,3,12,6,20,20
10502,1,2,12,6,15,15
10503,1,2,12,6,17,
10504,1,7,8,0,21,21
10505,1,2,12,6,6,7
10506,1,5,12,8,12,12
10507,1,3,12,7,14,15
10508,1,1,8,0,0,0
10509,1,2,12,6,3,3
10510,1,2,12,2,18,19
10511,1,2,42,0,0,0
10512,1,1,35,0,20,21
10513,1,1,8,0,6,6
10514,1,2,12,1,5,5
10515,1,3,19,0,18,18
10516,1,2,12,2,22,23
10517,1,3,12,6,20,20
10518,1,1,42,0,13,14
10519,1,4,12,6,8,8
10520,1,8,12,6,8,8
10521,1,4,12,6,16,16
10522,1,1,30,0,4,4
10523,1,2,42,0,1,1
10524,1,3,12,6,16,17
10525,1,3,32,0,18,18
10526,1,1,42,0,5,5
10527,1,2,12,2,22,22
10528,1,3,12,2,20,21
10529,1,1,1,0,14,14
10530,1,1,42,0,13,14
10531,1,1,33,0,0,0
10532,1,7,5,0,0,0
10533,1,5,12,6,15,15
10534,3,3,12,6,11,11
10535,1,1,25,0,15,15
10536,1,3,12,8,5,5
10537,1,2,12,2,15,15
10538,2,2,30,0,9,9
10539,1,3,12,6,15,16
10540,1,4,12,6,15,15
10541,1,1,53,0,21,
10542,1,2,32,0,1,1
10543,1,1,42,0,6,
10544,1,3,12,6,17,17
10545,1,3,12,1,15,15
10546,1,2,32,0,4,6
10547,1,4,24,0,17,17
10548,1,2,8,0,19,19
10549,1,1,42,0,10,10
10550,2,8,12,1,7,8
10551,1,4,1,0,17,17
10552,1,2,12,6,19,19
10553,4,4,12,2,12,11
10554,1,2,8,0,23,0
10555,1,1,42,0,0,7
10556,1,1,42,0,11,11
10557,1,1,24,0,17,18
10558,1,1,8,0,21,21
10559,1,3,12,2,10,11
10560,1,1,57,0,3,4
10561,1,1,42,0,14,14
10562,1,2,12,1,19,19
10563,1,3,12,1,20,21
10564,1,3,12,6,7,7
10565,1,5,12,6,14,14
10566,1,5,12,1,3,3
10567,1,3,34,0,14,14
10568,1,3,12,1,21,21
10569,1,1,1,0,14,15
10570,1,1,59,0,13,13
10571,1,7,12,1,10,10
10572,1,6,12,7,17,17
10573,1,2,12,1,5,5
10574,1,1,8,0,15,15
10575,1,4,12,7,12,13
10576,1,1,30,0,15,15
10577,1,1,30,0,22,22
10578,1,1,8,0,22,22
10579,1,1,23,0,4,4
10580,1,1,8,0,13,13
10581,1,2,8,0,21,22
10582,1,2,12,2,13,13
10583,1,2,12,2,8,8
10584,2,4,12,7,18,18
10585,1,3,12,2,15,15
10586,1,2,12,7,18,19
10587,1,3,12,6,23,23
10588,1,2,12,6,9,9
10589,1,1,58,0,20,21
10590,1,2,12,2,12,13
10591,1,1,35,0,21,22
10592,1,5,12,2,7,7
10593,1,3,12,6,21,22
10594,1,2,8,0,11,11
10595,1,2,53,0,21,21
10596,1,2,42,0,20,21
10597,1,2,12,6,10,10
10598,1,1,42,0,13,13
10599,1,7,12,2,16,17
10600,1,6,12,2,18,18
10601,1,1,8,0,2,3
10602,1,1,42,0,21,22
10603,1,2,12,6,23,23
10604,1,2,42,0,5,5
10605,1,1,42,0,3,3
10606,1,2,24,0,3,3
10607,1,2,34,0,6,6
10608,2,2,30,0,0,0
10609,1,4,42,0,3,4
